,dayNumber,numAgents,numInfected,rZero,growthRate
0,0,1000,10,0.0,0.0
1,1,1000,10,2.75,0.0
2,2,1000,10,2.75,1.0
3,3,1000,16,2.5,1.6
4,4,1000,18,0.0,1.125
5,5,1000,23,1.6666666666666667,1.2777777777777777
6,6,1000,31,0.6666666666666666,1.3478260869565217
7,7,1000,36,2.4,1.1612903225806452
8,8,1000,33,2.2,0.9166666666666666
9,9,1000,42,2.8,1.2727272727272727
10,10,1000,47,1.0,1.119047619047619
11,11,1000,46,3.25,0.9787234042553191
12,12,1000,57,0.7777777777777778,1.2391304347826086
13,13,1000,73,0.5,1.280701754385965
14,14,1000,76,2.272727272727273,1.0410958904109588
15,15,1000,80,1.7222222222222223,1.0526315789473684
16,16,1000,93,2.7857142857142856,1.1625
17,17,1000,107,0.5384615384615384,1.1505376344086022
18,18,1000,116,2.1666666666666665,1.0841121495327102
19,19,1000,133,1.1764705882352942,1.146551724137931
20,20,1000,151,1.25,1.1353383458646618
21,21,1000,156,2.0526315789473686,1.033112582781457
22,22,1000,157,1.2903225806451613,1.0064102564102564
23,23,1000,179,2.0,1.1401273885350318
24,24,1000,196,1.4615384615384615,1.094972067039106
25,25,1000,210,1.32,1.0714285714285714
26,26,1000,226,1.2121212121212122,1.0761904761904761
27,27,1000,241,0.7272727272727273,1.0663716814159292
28,28,1000,269,0.45161290322580644,1.116182572614108
29,29,1000,272,0.11363636363636363,1.0111524163568772
30,30,1000,306,0.0,1.125
