,dayNumber,numAgents,numInfected,rZero,growthRate
0,0,1000,10,0.0,0.0
1,1,1000,10,2.25,0.0
2,2,1000,10,2.8333333333333335,1.0
3,3,1000,18,0.0,1.8
4,4,1000,25,4.0,1.3888888888888888
5,5,1000,29,5.0,1.16
6,6,1000,32,3.111111111111111,1.103448275862069
7,7,1000,37,0.5,1.15625
8,8,1000,46,3.0,1.2432432432432432
9,9,1000,51,2.25,1.108695652173913
10,10,1000,71,3.5833333333333335,1.392156862745098
11,11,1000,91,0.8571428571428571,1.2816901408450705
12,12,1000,103,2.3125,1.1318681318681318
13,13,1000,113,1.263157894736842,1.0970873786407767
14,14,1000,127,1.8333333333333333,1.1238938053097345
15,15,1000,145,1.8095238095238095,1.141732283464567
16,16,1000,178,1.3333333333333333,1.2275862068965517
17,17,1000,203,0.8636363636363636,1.1404494382022472
18,18,1000,225,1.3142857142857143,1.1083743842364533
19,19,1000,230,1.0571428571428572,1.0222222222222221
20,20,1000,244,1.236842105263158,1.0608695652173914
21,21,1000,257,1.6923076923076923,1.0532786885245902
22,22,1000,281,0.8857142857142857,1.093385214007782
23,23,1000,289,1.2,1.0284697508896796
24,24,1000,283,0.926829268292683,0.9792387543252595
25,25,1000,294,1.2857142857142858,1.03886925795053
26,26,1000,305,1.1388888888888888,1.0374149659863945
27,27,1000,316,0.45161290322580644,1.0360655737704918
28,28,1000,321,0.2708333333333333,1.0158227848101267
29,29,1000,330,0.06666666666666667,1.02803738317757
30,30,1000,332,0.0,1.006060606060606
