run,numberOfFaultPredictedSegments,pileManipulations,wrongWorstPrediction,pileManipulationGraspFaults,correctObjectMatch,correctManipulations,correctGrasps,correctObjectManipulations,totalPredictions
0,4,3,2,1,0,1,1,0,1
1,3,3,1,0,1,1,1,0,1
2,1,0,0,0,1,1,1,1,1
3,2,2,1,2,1,1,1,1,1
4,0,0,0,0,1,1,1,1,1
5,4,3,0,3,1,1,1,0,1
6,1,0,0,0,0,1,1,0,1
7,2,1,1,0,1,1,1,0,1
8,2,0,0,0,2,1,1,1,2
9,1,1,1,0,1,1,1,1,1
10,1,0,0,0,1,1,1,1,1
11,5,3,0,2,3,0,0,0,3
12,4,2,0,1,1,1,1,0,2
13,1,0,0,0,0,1,1,0,1
14,4,1,1,1,3,1,2,1,3
15,2,0,0,0,1,1,1,0,2
16,4,3,0,3,1,1,1,0,1
17,1,3,1,0,0,1,1,0,1
18,1,3,0,0,0,1,1,0,1
19,3,2,1,1,0,1,1,0,2
20,3,3,2,0,2,1,1,1,2
21,5,2,2,1,3,0,1,0,3
22,5,2,2,2,1,0,0,0,3
23,3,2,1,1,0,1,1,0,1
24,3,3,1,0,1,1,1,1,1
25,1,0,0,0,0,1,1,0,1
26,1,0,0,0,0,1,1,0,1
27,4,2,2,0,1,1,3,1,3
28,4,3,3,2,0,1,1,0,1
29,4,1,1,1,3,0,2,0,3
30,4,2,2,0,1,1,1,0,2
31,4,3,1,2,2,1,1,0,2
32,1,0,0,0,0,1,1,0,1
33,1,1,0,0,0,1,1,0,1
34,3,0,0,0,3,0,1,0,3
35,1,0,0,0,1,1,1,1,1
36,3,1,0,0,3,0,1,0,3
37,1,0,0,0,1,1,1,1,1
38,2,0,0,0,0,1,2,0,2
39,2,3,1,0,1,1,1,0,1
40,0,0,0,0,0,0,0,0,3
41,3,2,1,0,0,1,1,0,1
42,1,0,0,0,1,1,1,0,2
43,4,3,2,2,0,1,1,0,1
44,2,2,1,0,0,1,1,0,1
45,0,0,0,0,0,1,1,0,1
46,1,3,1,0,1,1,2,0,2
47,4,3,0,0,2,1,1,1,2
48,2,3,0,0,0,1,1,0,1
49,5,3,0,1,2,1,1,1,2
50,1,0,0,0,0,1,1,0,1
51,1,0,0,0,1,1,1,1,1
52,3,0,0,0,0,0,0,0,3
53,3,0,0,0,3,1,1,1,3
54,2,3,1,0,1,1,1,1,1
55,2,1,1,0,0,1,1,0,1
56,3,3,1,0,1,1,1,0,1
57,5,3,2,1,1,1,1,0,2
58,3,3,1,0,0,1,1,0,1
59,2,3,0,1,0,1,1,0,2
60,1,0,0,0,0,1,1,0,1
61,2,3,2,0,0,0,2,0,3
62,2,1,0,0,0,1,1,0,1
63,3,2,0,0,0,1,1,0,1
64,3,2,1,0,0,1,1,0,2
65,3,3,1,0,0,1,1,0,1
66,6,3,2,3,0,0,0,0,3
67,3,2,0,0,2,1,1,1,3
68,1,0,0,0,1,1,1,1,1
69,3,3,2,0,1,1,1,0,1
70,5,3,2,1,0,1,1,0,2
71,5,2,2,1,1,0,0,0,3
72,1,0,0,0,0,1,1,0,1
73,1,2,0,1,0,1,1,0,2
74,2,3,1,0,0,1,1,0,1
75,2,0,0,0,2,1,1,1,2
76,1,0,0,0,0,1,1,0,1
77,3,2,1,0,0,1,1,0,1
78,4,3,1,2,1,1,1,0,1
79,6,3,0,3,1,0,0,0,3
80,1,0,0,0,0,1,1,0,1
81,3,2,0,0,2,1,1,1,2
82,6,3,0,0,3,0,1,0,3
83,3,2,1,0,2,1,2,1,2
84,1,1,1,1,1,1,1,1,1
85,1,0,0,0,0,1,1,0,1
86,4,3,0,1,0,1,1,0,1
87,3,2,1,0,1,1,1,0,1
88,1,0,0,0,0,1,1,0,1
89,1,0,0,0,0,1,1,0,1
90,2,1,0,0,1,1,1,0,1
91,3,3,1,0,1,1,1,0,1
92,5,2,2,1,2,0,1,0,3
93,5,3,1,1,1,1,1,0,2
94,2,0,0,0,1,1,1,1,3
95,4,3,0,2,1,1,1,1,1
96,5,3,0,2,0,1,1,0,2
97,1,0,0,0,0,1,1,0,1
98,1,0,0,0,0,1,1,0,1
99,1,3,1,0,1,1,1,0,1
