run,numberOfFaultPredictedSegments,pileManipulations,wrongWorstPrediction,pileManipulationGraspFaults,correctObjectMatch,correctManipulations,correctGrasps,correctObjectManipulations,totalPredictions
0,1,2,2,1,0,1,1,0,1
1,1,0,0,0,1,1,1,1,1
2,6,3,0,0,2,0,1,0,3
3,1,0,0,0,0,1,1,0,1
4,4,3,0,3,0,1,1,0,1
5,4,3,1,2,1,1,1,1,1
6,2,1,0,0,0,1,1,0,1
7,3,3,0,2,1,1,2,1,2
8,5,3,3,1,1,1,1,1,2
9,4,3,2,2,1,1,2,0,2
10,4,2,2,1,2,1,1,1,3
11,1,0,0,0,1,1,1,1,1
12,2,1,1,0,0,1,1,0,1
13,2,2,2,1,2,0,0,0,3
14,3,3,2,2,0,1,1,0,1
15,0,0,0,0,0,1,1,0,1
16,5,3,1,1,1,1,1,0,2
17,2,3,0,0,1,1,1,0,2
18,1,0,0,0,0,1,1,0,1
19,6,3,2,1,0,0,0,0,3
20,4,3,3,1,1,1,1,0,1
21,1,0,0,0,0,1,1,0,1
22,2,2,1,0,2,1,2,0,2
23,1,2,0,0,1,1,1,1,1
24,0,0,0,0,1,1,1,1,1
25,4,2,0,0,0,1,2,0,2
26,6,3,0,2,2,0,1,0,3
27,4,3,3,1,0,1,1,0,1
28,3,3,0,1,1,1,1,1,1
29,2,2,1,0,0,0,0,0,3
30,3,2,2,1,0,1,1,0,1
31,4,3,1,3,0,1,1,0,1
32,5,3,0,3,3,0,0,0,3
33,4,3,1,2,1,1,1,1,1
34,3,2,0,1,1,1,1,1,2
35,1,0,0,0,0,1,1,0,1
36,4,3,0,1,0,1,1,0,1
37,6,3,3,1,1,1,1,0,3
38,1,0,0,0,0,1,1,0,1
39,3,2,0,1,0,1,1,0,1
40,1,0,0,0,0,1,1,0,1
41,5,2,1,0,2,1,2,0,3
42,3,3,0,2,1,1,1,1,1
43,1,1,0,0,1,1,1,1,1
44,2,3,0,0,0,1,1,0,1
45,0,0,0,0,0,1,1,0,1
46,4,3,2,1,0,1,1,0,1
47,2,3,2,0,0,1,1,0,1
48,4,1,0,1,0,1,1,0,3
49,4,3,1,1,0,1,1,0,1
50,3,3,0,0,0,1,1,0,1
51,4,1,0,0,0,0,0,0,3
52,3,3,0,1,0,1,1,0,1
53,1,3,1,1,1,1,1,0,1
54,1,1,1,0,0,1,1,0,2
55,0,0,0,0,0,1,1,0,1
56,3,1,0,1,0,1,1,0,3
57,4,3,0,1,2,1,1,1,2
58,6,3,1,1,0,0,0,0,3
59,6,3,1,1,0,0,1,0,3
60,4,2,0,2,2,1,2,1,2
61,4,2,2,0,2,1,1,0,2
62,3,3,1,0,1,1,1,0,1
63,0,1,0,1,0,1,1,0,1
64,1,0,0,0,0,1,1,0,1
65,1,1,0,1,1,1,1,1,1
66,3,3,2,2,0,1,1,0,1
67,5,2,1,2,1,1,1,0,3
68,6,3,0,3,2,0,0,0,3
69,1,3,0,1,1,1,1,1,2
70,4,3,1,0,1,1,1,0,1
71,3,3,1,1,2,1,1,0,3
72,5,2,0,0,3,1,3,1,3
73,6,3,0,3,0,0,2,0,3
74,6,3,1,1,3,0,0,0,3
75,4,3,1,1,0,1,1,0,1
76,4,3,0,3,0,1,1,0,1
77,1,1,0,0,0,1,1,0,1
78,3,2,0,0,1,0,1,0,3
79,4,2,0,0,0,1,2,0,2
80,2,2,0,0,1,1,1,0,1
81,2,1,1,0,1,1,1,1,1
82,3,2,0,0,1,1,1,0,2
83,1,0,0,0,0,1,1,0,1
84,2,2,2,1,0,1,1,0,1
85,2,1,0,0,0,1,1,0,1
86,2,1,0,0,0,1,1,0,1
87,3,3,1,0,0,1,1,0,2
88,1,0,0,0,0,1,1,0,1
89,3,3,0,0,2,0,2,0,3
90,4,2,2,1,1,0,1,0,3
91,3,2,1,1,0,1,1,0,2
92,1,0,0,0,1,1,1,0,2
93,4,3,0,1,1,1,1,0,2
94,1,0,0,0,0,1,1,0,1
95,3,3,1,0,0,1,1,0,1
96,1,0,0,0,0,1,1,0,1
97,3,1,0,1,0,1,1,0,2
98,4,3,3,3,0,1,1,0,1
99,2,2,0,0,0,1,1,1,2
