run,numberOfFaultPredictedSegments,pileManipulations,wrongWorstPrediction,pileManipulationGraspFaults,correctObjectMatch,correctManipulations,correctGrasps,correctObjectManipulations,totalPredictions
0,2,1,1,0,0,1,1,0,1
1,4,1,0,0,3,1,1,1,3
2,1,0,0,0,1,1,1,1,1
3,1,0,0,0,0,1,1,0,1
4,1,0,0,0,1,1,1,1,1
5,2,1,0,0,1,1,1,1,1
6,3,3,1,0,1,1,1,0,1
7,1,0,0,0,1,1,1,1,1
8,6,3,1,1,2,0,0,0,3
9,1,1,0,1,1,1,1,1,1
10,2,2,0,0,1,1,1,1,1
11,2,0,0,0,2,1,1,1,2
12,2,1,0,0,0,1,1,0,1
13,2,0,0,0,2,1,1,1,2
14,4,3,1,1,0,0,0,0,3
15,1,0,0,0,1,1,1,1,1
16,3,3,2,1,0,1,1,0,1
17,5,2,1,1,2,1,2,0,3
18,2,1,0,0,0,1,1,0,1
19,3,0,0,0,2,0,2,0,3
20,0,1,0,0,2,1,1,1,2
21,1,0,0,0,1,1,1,1,1
22,2,1,0,0,0,1,1,0,1
23,0,0,0,0,1,1,1,1,1
24,4,2,0,1,2,1,1,0,2
25,5,2,1,0,3,0,0,0,3
26,1,1,0,0,1,1,1,1,1
27,5,2,1,1,0,1,1,0,3
28,0,3,1,1,1,1,1,0,1
29,2,0,0,0,2,1,2,1,2
30,0,3,1,2,1,1,1,1,1
31,2,2,0,0,1,1,2,0,2
32,4,1,1,0,0,1,1,0,3
33,2,1,1,0,2,1,2,1,2
34,3,3,0,1,0,1,1,0,1
35,3,3,0,1,0,1,1,0,1
36,3,1,0,1,1,1,1,1,2
37,3,3,0,1,1,1,1,1,1
38,2,1,0,0,1,1,1,1,1
39,1,0,0,0,1,1,1,1,1
40,1,2,1,0,0,1,1,0,1
41,5,2,0,1,2,0,0,0,3
42,2,0,0,0,1,1,1,0,2
43,1,0,0,0,1,1,1,0,1
44,2,1,0,0,0,1,1,0,1
45,4,3,1,1,0,1,1,0,1
46,4,3,0,0,3,0,2,0,3
47,1,0,0,0,1,1,1,1,1
48,2,2,0,0,2,0,1,0,3
49,2,1,0,0,0,1,1,0,1
50,4,3,0,0,0,1,1,1,1
51,3,2,0,0,0,1,1,0,1
52,3,2,1,1,1,1,1,1,1
53,3,3,2,0,0,1,1,0,1
54,1,2,0,0,1,1,1,1,1
55,4,3,0,0,0,1,1,1,1
56,2,3,0,0,3,1,1,1,3
57,1,0,0,0,1,1,1,1,1
58,1,0,0,0,1,1,1,1,1
59,6,3,0,1,3,0,0,0,3
60,1,0,0,0,0,1,1,1,1
61,1,0,0,0,1,1,1,1,1
62,4,3,1,1,1,1,1,1,1
63,4,3,0,2,1,1,1,1,1
64,0,0,0,0,0,1,1,0,1
65,1,0,0,0,1,1,1,1,1
66,2,1,0,0,2,0,1,0,3
67,2,2,0,0,3,0,3,0,3
68,4,3,1,1,1,1,2,0,3
69,2,3,1,0,1,1,1,1,1
70,3,2,0,0,0,1,2,0,2
71,2,3,0,0,1,1,1,1,1
72,4,3,2,2,1,1,1,1,1
73,5,3,0,1,2,1,1,1,2
74,5,3,0,2,1,1,1,0,2
75,3,0,0,0,0,0,0,0,3
76,1,0,0,0,0,1,1,0,1
77,2,1,0,0,2,1,1,1,2
78,4,3,0,0,3,0,0,0,3
79,4,3,1,0,0,1,1,0,1
80,2,1,0,0,1,1,1,1,1
81,0,0,0,0,1,1,1,1,1
82,1,1,0,0,1,1,1,1,1
83,3,1,0,0,2,1,2,1,2
84,0,1,0,1,0,1,1,0,1
85,3,1,0,0,1,1,1,1,2
86,6,3,0,3,3,0,1,0,3
87,1,1,1,0,1,1,1,1,1
88,4,3,1,1,1,1,1,0,1
89,6,3,2,1,0,0,0,0,3
90,3,3,0,0,3,0,0,0,3
91,1,0,0,0,1,1,1,1,1
92,3,3,1,1,2,1,1,1,2
93,4,3,0,0,2,0,0,0,3
94,0,2,0,1,0,1,1,0,2
95,4,3,1,1,0,1,1,0,1
96,3,3,2,0,0,1,1,0,1
97,0,0,0,0,1,1,1,1,1
98,2,3,1,0,1,1,1,0,1
99,1,2,0,0,2,1,2,0,3
