run,numberOfFaultPredictedSegments,pileManipulations,wrongWorstPrediction,pileManipulationGraspFaults,correctObjectMatch,correctManipulations,correctGrasps,correctObjectManipulations,totalPredictions
0,0,0,0,0,1,1,1,1,1
1,0,3,0,0,1,1,1,1,1
2,0,3,0,3,0,1,1,0,1
3,0,3,1,0,0,1,1,0,2
4,0,0,0,0,1,1,1,1,1
5,0,3,1,0,1,1,1,0,1
6,0,3,1,0,0,1,1,0,2
7,0,3,2,0,1,1,1,0,1
8,2,3,1,1,0,1,2,0,2
9,0,3,0,0,1,1,1,1,1
10,0,2,1,0,1,1,2,0,2
11,0,0,0,0,1,1,1,1,1
12,0,3,1,1,0,0,0,0,3
13,0,0,0,0,1,1,1,1,1
14,0,2,0,0,1,0,1,0,3
15,0,1,0,0,0,1,1,0,2
16,0,2,0,0,3,0,3,0,3
17,0,3,1,0,1,1,2,0,2
18,0,1,1,0,0,1,1,0,1
19,0,1,0,1,0,1,1,0,1
20,0,0,0,0,0,1,1,0,1
21,0,0,0,0,1,1,1,1,1
22,0,0,0,0,1,1,1,1,1
23,0,3,1,0,0,1,1,0,1
24,0,2,0,0,0,1,1,0,2
25,0,2,0,0,0,1,1,0,1
26,0,3,0,0,1,1,1,1,1
27,0,0,0,0,1,1,1,1,1
28,3,3,1,1,0,1,1,0,1
29,0,0,0,0,1,1,1,1,1
30,0,0,0,0,0,1,1,0,1
31,0,0,0,0,0,1,1,0,1
32,0,2,2,2,0,0,0,0,3
33,0,0,0,0,1,1,1,1,1
34,0,3,0,1,0,1,1,0,1
35,0,3,0,1,0,1,1,0,1
36,0,0,0,0,1,1,2,1,2
37,0,2,0,0,2,1,1,0,2
38,0,2,0,0,0,0,1,0,3
39,0,0,0,0,1,1,1,1,1
40,0,3,0,2,0,1,1,0,1
41,0,3,0,1,1,1,1,1,1
42,0,0,0,0,1,1,1,1,1
43,0,0,0,0,1,1,1,1,1
44,0,0,0,0,2,1,1,1,2
45,0,0,0,0,2,1,2,1,2
46,0,2,2,1,2,1,1,0,2
47,0,0,0,0,1,1,1,1,1
48,0,3,0,0,1,1,1,1,1
49,0,0,0,0,1,1,1,1,1
50,0,3,3,0,1,1,1,0,1
51,0,3,1,0,1,1,1,0,1
52,3,2,1,0,2,1,2,0,3
53,0,0,0,0,0,1,1,0,1
54,0,3,1,0,0,1,1,0,1
55,0,0,0,0,0,1,1,0,2
56,0,3,1,0,1,1,2,0,2
57,0,3,0,1,0,1,1,0,1
58,0,0,0,0,1,1,1,0,1
59,0,0,0,0,3,0,0,0,3
60,0,0,0,0,2,1,1,1,2
61,0,3,0,3,0,1,1,0,1
62,0,3,2,1,1,1,1,0,1
63,0,2,1,1,1,1,1,0,1
64,0,0,0,0,1,1,1,1,1
65,0,3,0,1,1,1,1,1,1
66,0,1,0,0,0,1,1,0,1
67,0,2,0,0,1,1,1,1,1
68,0,0,0,0,0,1,1,0,1
69,0,2,1,1,0,1,1,0,1
70,0,3,1,2,0,1,2,0,3
71,0,0,0,0,1,1,2,1,2
72,0,2,0,2,3,0,0,0,3
73,0,0,0,0,1,1,1,1,1
74,0,2,0,0,2,1,1,1,2
75,0,2,0,0,1,1,1,1,1
76,3,3,1,1,1,1,1,0,1
77,0,2,0,0,0,0,1,0,3
78,0,2,0,1,2,1,2,0,2
79,0,0,0,0,1,1,1,1,1
80,0,3,2,0,0,1,1,0,1
81,3,3,0,2,0,1,1,0,1
82,0,0,0,0,1,1,1,1,1
83,0,3,1,1,0,1,1,0,1
84,0,0,0,0,1,1,1,1,1
85,0,0,0,0,1,1,1,0,2
86,0,3,1,0,0,1,1,0,2
87,0,2,1,0,0,1,1,0,2
88,0,3,2,0,0,0,2,0,3
89,0,0,0,0,1,1,1,1,1
90,0,2,0,0,1,1,1,1,1
91,0,0,0,0,1,1,1,1,1
92,0,0,0,0,1,1,1,1,1
93,0,3,1,0,1,1,2,2,2
94,0,2,1,1,1,1,2,2,2
95,0,2,0,0,3,0,1,0,3
96,0,3,0,3,1,1,1,1,1
97,0,2,0,1,1,1,3,0,3
98,0,3,2,0,0,0,3,0,3
99,0,3,1,0,1,1,1,0,1
