run,numberOfFaultPredictedSegments,pileManipulations,wrongWorstPrediction,pileManipulationGraspFaults,correctObjectMatch,correctManipulations,correctGrasps,correctObjectManipulations,totalPredictions
0,0,3,1,0,1,1,1,0,1
1,0,3,1,3,0,1,1,0,2
2,0,1,1,0,0,1,1,0,2
3,0,1,0,0,0,1,1,0,2
4,0,3,1,0,0,1,1,0,1
5,0,2,0,0,0,1,1,0,2
6,0,1,0,1,0,0,1,0,3
7,4,3,0,2,0,0,0,0,3
8,0,3,2,0,0,1,1,0,1
9,0,1,0,0,2,1,2,0,3
10,0,1,0,0,0,1,1,0,2
11,0,2,0,0,1,1,1,0,2
12,0,3,2,0,0,1,1,0,1
13,0,3,0,2,0,1,1,0,1
14,0,1,0,0,0,1,1,0,1
15,0,3,0,1,0,1,1,0,1
16,0,0,0,0,0,1,1,0,1
17,0,1,1,1,0,1,1,0,1
18,0,2,0,1,1,1,3,1,3
19,0,0,0,0,1,1,2,0,2
20,0,0,0,0,1,1,2,0,2
21,0,1,0,0,0,1,1,0,1
22,2,2,0,0,2,1,2,0,2
23,1,1,0,1,0,1,1,0,1
24,0,3,1,1,0,1,1,0,1
25,0,0,0,0,1,1,1,0,2
26,0,0,0,0,0,1,1,0,1
27,0,3,0,3,0,1,1,0,1
28,0,2,1,0,2,1,2,0,3
29,0,2,0,1,0,1,2,0,2
30,0,3,0,0,1,1,1,1,1
31,0,0,0,0,0,1,2,0,2
32,0,0,0,0,0,1,1,0,1
33,0,2,1,0,0,1,1,0,1
34,0,0,0,0,0,1,2,0,3
35,0,0,0,0,0,1,1,0,1
36,0,3,0,2,0,1,1,0,1
37,2,2,0,1,0,1,1,0,1
38,0,2,1,0,1,1,1,0,1
39,0,3,1,1,1,1,1,0,1
40,3,2,2,2,1,0,1,0,3
41,0,0,0,0,1,1,1,1,1
42,0,0,0,0,0,1,1,0,1
43,0,1,0,0,2,1,2,1,2
44,0,3,0,1,0,0,2,0,3
45,0,1,0,1,0,1,1,0,1
46,0,1,0,0,0,1,1,0,3
47,0,3,2,0,1,1,1,0,2
48,0,3,0,1,0,1,1,0,1
49,0,3,1,0,1,1,1,0,2
50,0,1,0,0,2,0,0,0,3
51,0,2,0,0,0,1,2,0,2
52,0,0,0,0,0,1,1,0,3
53,0,1,0,1,0,1,1,0,1
54,0,3,2,0,1,1,1,0,1
55,0,3,0,0,2,0,3,0,3
56,0,0,0,0,1,1,1,1,1
57,0,2,1,2,1,1,2,1,2
58,0,1,0,0,0,1,1,0,1
59,0,0,0,0,1,1,1,1,1
60,0,0,0,0,0,1,1,0,1
61,0,2,1,0,1,1,1,0,2
62,0,3,1,0,0,1,1,0,1
63,0,2,0,1,0,1,1,0,1
64,0,0,0,0,0,1,1,0,1
65,0,0,0,0,0,1,1,0,1
66,0,2,1,0,0,1,1,0,1
67,0,0,0,0,1,1,1,1,1
68,0,0,0,0,0,1,1,0,1
69,0,1,0,1,0,1,1,0,1
70,0,1,0,0,1,1,1,1,1
71,0,0,0,0,1,1,1,1,1
72,0,3,2,1,1,1,1,1,3
73,0,2,0,0,0,0,0,0,3
74,0,0,0,0,0,1,1,0,1
75,0,3,1,0,0,1,1,0,1
76,0,3,0,2,0,1,1,0,1
77,0,2,0,1,1,1,1,1,1
78,0,3,2,3,0,1,1,0,1
79,0,2,0,1,0,1,1,0,1
80,0,1,0,1,0,1,1,0,1
81,0,0,0,0,0,1,1,0,1
82,0,2,1,0,1,1,1,0,1
83,0,3,0,1,0,1,1,0,1
84,0,1,0,1,1,1,1,1,1
85,4,2,0,0,3,0,0,0,3
86,0,0,0,0,1,1,2,0,3
87,0,2,0,0,1,1,1,0,2
88,0,3,1,2,0,1,1,0,1
89,0,2,1,0,0,0,0,0,3
90,0,0,0,0,1,1,1,1,1
91,0,3,1,1,1,1,1,1,1
92,0,3,0,0,1,1,1,1,1
93,0,0,0,0,2,0,0,0,3
94,0,0,0,0,0,1,1,0,3
95,0,2,0,1,0,1,1,0,1
96,0,2,0,1,1,1,2,1,2
97,0,2,0,0,1,1,2,0,2
98,0,1,0,1,0,1,1,0,2
99,0,3,0,0,1,1,1,1,1
