run,numberOfFaultPredictedSegments,pileManipulations,wrongWorstPrediction,pileManipulationGraspFaults,correctObjectMatch,correctManipulations,correctGrasps,correctObjectManipulations,totalPredictions
0,0,3,0,1,1,1,1,1,1
1,0,0,0,0,1,1,1,1,1
2,0,0,0,0,1,1,1,1,1
3,0,0,0,0,1,1,1,1,1
4,0,0,0,0,1,1,1,1,1
5,0,0,0,0,1,1,1,1,1
6,0,2,0,1,1,1,1,0,2
7,0,0,0,0,1,1,1,1,1
8,0,0,0,0,1,1,1,1,1
9,0,2,0,1,2,0,1,0,3
10,0,0,0,0,1,1,1,1,1
11,0,0,0,0,1,1,1,1,1
12,0,0,0,0,0,1,1,0,1
13,0,2,0,1,2,1,2,0,3
14,0,3,0,2,0,1,1,0,1
15,0,0,0,0,1,1,1,1,1
16,0,0,0,0,2,1,1,0,3
17,0,0,0,0,1,1,1,1,1
18,0,0,0,0,1,1,1,1,1
19,0,0,0,0,2,1,1,1,2
20,0,1,0,1,0,1,1,0,1
21,0,0,0,0,1,1,1,1,1
22,0,2,0,0,1,1,1,1,1
23,0,1,0,0,2,0,0,0,3
24,0,0,0,0,1,1,1,0,2
25,0,1,0,0,2,1,1,1,2
26,0,3,0,3,0,1,1,0,1
27,0,3,0,2,3,0,0,0,3
28,0,0,0,0,1,1,1,1,1
29,0,0,0,0,1,1,1,1,1
30,0,0,0,0,1,1,1,1,1
31,1,0,0,0,3,1,1,1,3
32,0,3,0,2,3,0,3,0,3
33,0,1,0,0,1,1,1,1,1
34,2,1,0,0,1,1,1,0,2
35,0,0,0,0,1,1,1,1,1
36,0,2,0,1,0,1,1,0,1
37,0,2,0,1,3,0,0,0,3
38,0,0,0,0,1,1,1,1,1
39,0,0,0,0,1,1,1,1,1
40,0,3,0,2,3,0,0,0,3
41,0,0,0,0,1,1,1,1,1
42,0,2,0,0,1,1,1,1,1
43,0,0,0,0,1,1,1,1,1
44,0,0,0,0,1,1,1,1,1
45,0,1,0,0,3,1,1,1,3
46,0,3,0,2,2,1,1,1,2
47,0,2,0,1,2,1,1,1,2
48,0,0,0,0,3,0,1,0,3
49,0,0,0,0,2,1,1,1,2
50,0,0,0,0,1,1,1,1,1
51,0,3,0,1,0,1,1,0,1
52,0,3,0,0,1,1,1,1,1
53,0,3,0,0,2,1,2,1,2
54,0,0,0,0,2,1,2,0,2
55,2,3,0,2,0,1,1,0,1
56,0,0,0,0,1,1,3,0,3
57,0,0,0,0,1,1,1,1,1
58,0,0,0,0,1,1,1,1,1
59,0,1,0,0,2,1,2,0,3
60,0,0,0,0,2,1,1,1,2
61,0,0,0,0,1,1,2,0,2
62,0,0,0,0,1,1,1,1,1
63,0,0,0,0,0,1,1,0,1
64,0,3,0,1,1,1,1,1,1
65,0,0,0,0,1,1,1,1,1
66,0,3,0,1,0,1,1,0,1
67,0,3,1,0,1,1,1,0,1
68,4,2,0,2,0,1,2,0,3
69,0,0,0,0,1,1,1,1,1
70,0,0,0,0,1,1,1,1,1
71,0,0,0,0,2,1,1,1,2
72,0,0,0,0,1,1,1,1,1
73,0,3,0,1,0,0,2,0,3
74,0,0,0,0,1,1,1,1,1
75,0,2,0,0,1,1,1,1,1
76,0,2,0,0,1,1,1,1,1
77,0,0,0,0,2,1,1,1,2
78,0,0,0,0,3,0,1,0,3
79,0,3,0,0,1,1,1,0,2
80,0,0,0,0,3,0,0,0,3
81,0,0,0,0,1,1,1,1,1
82,0,3,0,0,1,1,1,1,1
83,0,3,0,0,0,1,1,0,1
84,0,1,0,1,1,1,2,0,2
85,0,0,0,0,1,1,1,1,1
86,0,0,0,0,3,0,0,0,3
87,0,0,0,0,0,1,1,0,1
88,0,0,0,0,1,1,1,1,1
89,0,0,0,0,1,1,1,1,1
90,0,3,0,2,0,1,1,0,1
91,0,0,0,0,3,0,2,0,3
92,3,2,0,0,0,1,2,0,2
93,0,3,0,2,1,1,1,1,1
94,0,2,0,0,3,0,0,0,3
95,0,0,0,0,1,1,1,1,1
96,0,0,0,0,1,1,1,1,1
97,0,0,0,0,1,1,1,1,1
98,0,0,0,0,1,1,1,1,1
99,0,0,0,0,1,1,1,1,1
