run,numberOfFaultPredictedSegments,pileManipulations,wrongWorstPrediction,pileManipulationGraspFaults,correctObjectMatch,correctManipulations,correctGrasps,correctObjectManipulations,totalPredictions
0,3,0,0,0,1,0,2,0,3
1,4,3,0,2,1,1,1,1,1
2,4,2,0,2,0,1,2,0,2
3,5,2,0,2,1,0,1,0,3
4,1,0,0,0,0,1,1,0,1
5,1,0,0,0,1,1,1,1,1
6,1,0,0,0,0,1,1,0,1
7,1,0,0,0,1,1,1,1,1
8,1,0,0,0,0,1,1,0,1
9,3,0,0,0,0,1,1,0,3
10,2,1,0,1,0,1,1,0,1
11,1,0,0,0,0,1,1,0,1
12,1,0,0,0,1,1,1,1,1
13,3,0,0,0,0,0,0,0,3
14,3,0,0,0,0,1,1,0,3
15,2,1,0,0,1,1,1,1,1
16,3,0,0,0,1,0,1,0,3
17,1,0,0,0,0,1,1,0,1
18,1,0,0,0,1,1,1,1,1
19,1,0,0,0,0,1,1,0,1
20,2,0,0,0,0,1,1,0,2
21,1,0,0,0,0,1,1,0,1
22,4,3,0,3,0,1,1,0,1
23,2,2,0,1,0,0,0,0,3
24,1,0,0,0,0,1,1,0,1
25,1,0,0,0,0,1,1,0,1
26,3,2,0,2,1,1,1,1,1
27,3,0,0,0,0,0,1,0,3
28,3,0,0,0,3,0,1,0,3
29,2,0,0,0,0,1,1,0,2
30,2,2,2,1,0,1,2,0,2
31,3,1,0,1,0,1,1,0,2
32,4,1,0,1,0,0,1,0,3
33,3,0,0,0,0,1,2,0,3
34,4,3,0,3,1,1,1,0,1
35,2,0,0,0,2,1,1,1,2
36,2,0,0,0,0,1,1,1,2
37,3,0,0,0,0,0,0,0,3
38,1,0,0,0,1,1,1,1,1
39,1,0,0,0,0,1,1,0,1
40,2,0,0,0,0,1,1,0,2
41,1,0,0,0,1,1,1,1,1
42,2,1,0,0,0,1,1,0,1
43,3,0,0,0,0,0,2,0,3
44,2,0,0,0,1,1,1,1,2
45,2,0,0,0,1,1,2,0,2
46,3,0,0,0,0,0,0,0,3
47,3,0,0,0,2,0,0,0,3
48,3,0,0,0,1,1,2,1,3
49,1,0,0,0,0,1,1,0,1
50,1,0,0,0,0,1,1,0,1
51,2,0,0,0,2,1,2,1,2
52,1,0,0,0,0,1,1,0,1
53,2,0,0,0,1,1,1,0,2
54,3,0,0,0,1,1,1,0,3
55,1,0,0,0,0,1,1,0,1
56,2,1,0,1,0,1,1,0,1
57,3,0,0,0,1,0,3,0,3
58,3,0,0,0,0,0,0,0,3
59,1,0,0,0,0,1,1,0,1
60,2,0,0,0,0,1,2,0,2
61,3,0,0,0,0,0,0,0,3
62,1,0,0,0,0,1,1,0,1
63,1,0,0,0,0,1,1,0,1
64,1,0,0,0,0,1,1,0,1
65,3,0,0,0,0,0,1,0,3
66,2,3,0,3,2,1,1,1,2
67,2,0,0,0,1,1,1,0,2
68,1,0,0,0,1,1,1,1,1
69,1,0,0,0,0,1,1,0,1
70,2,1,0,1,0,1,1,0,1
71,3,0,0,0,0,1,1,0,3
72,2,1,0,1,0,1,1,0,1
73,2,1,0,0,0,1,1,0,1
74,1,0,0,0,1,1,1,1,1
75,2,0,0,0,2,1,1,1,2
76,1,0,0,0,0,1,1,0,1
77,1,0,0,0,0,1,1,0,1
78,3,0,0,0,0,0,0,0,3
79,3,0,0,0,0,0,1,0,3
80,1,0,0,0,0,1,1,0,1
81,3,1,0,1,1,1,1,1,2
82,1,0,0,0,0,1,1,0,1
83,2,0,0,0,0,1,1,0,2
84,3,0,0,0,2,0,0,0,3
85,3,0,0,0,0,0,1,0,3
86,1,0,0,0,0,1,1,0,1
87,1,0,0,0,0,1,1,0,1
88,3,0,0,0,0,0,1,0,3
89,3,0,0,0,0,0,1,0,3
90,3,0,0,0,0,0,1,0,3
91,2,0,0,0,0,1,1,0,2
92,3,0,0,0,0,1,1,0,3
93,1,0,0,0,0,1,1,0,1
94,3,0,0,0,1,0,0,0,3
95,1,0,0,0,0,1,1,0,1
96,1,0,0,0,0,1,1,0,1
97,1,0,0,0,0,1,1,0,1
98,2,0,0,0,0,1,1,1,2
99,1,0,0,0,0,1,1,0,1
