run,numberOfFaultPredictedSegments,pileManipulations,wrongWorstPrediction,pileManipulationGraspFaults,correctObjectMatch,correctManipulations,correctGrasps,correctObjectManipulations,totalPredictions
0,3,0,0,0,0,0,0,0,3
1,1,0,0,0,0,1,1,0,1
2,1,0,0,0,0,1,1,0,1
3,3,0,0,0,0,1,1,0,3
4,4,2,0,1,0,1,1,1,2
5,6,3,0,3,1,0,1,0,3
6,1,0,0,0,0,1,1,0,1
7,3,0,0,0,0,0,1,0,3
8,2,0,0,0,0,1,2,0,2
9,1,0,0,0,0,1,1,0,1
10,3,0,0,0,0,0,0,0,3
11,2,0,0,0,0,1,1,0,2
12,2,0,0,0,0,1,1,0,2
13,3,1,0,0,1,1,1,1,2
14,1,0,0,0,0,1,1,1,1
15,4,1,0,0,3,0,0,0,3
16,4,1,0,0,0,1,2,1,3
17,5,3,0,3,0,1,1,0,2
18,5,2,0,2,0,0,0,0,3
19,1,0,0,0,0,1,1,0,1
20,1,0,0,0,0,1,1,1,1
21,3,0,0,0,0,1,1,0,3
22,1,0,0,0,1,1,1,1,1
23,3,0,0,0,0,0,1,0,3
24,1,0,0,0,1,1,1,1,1
25,1,0,0,0,0,1,1,0,1
26,1,0,0,0,0,1,1,0,1
27,1,0,0,0,0,1,1,0,1
28,4,3,0,2,0,1,1,0,1
29,3,0,0,0,0,1,1,0,3
30,3,0,0,0,3,0,0,0,3
31,3,0,0,0,0,0,0,0,3
32,2,0,0,0,2,1,2,1,2
33,3,0,0,0,0,0,0,0,3
34,3,0,0,0,0,0,0,0,3
35,3,0,0,0,0,0,0,0,3
36,4,1,0,1,1,0,1,0,3
37,5,2,0,1,0,0,0,0,3
38,1,0,0,0,0,1,1,0,1
39,1,0,0,0,0,1,1,0,1
40,1,0,0,0,0,1,1,0,1
41,3,2,2,1,0,1,1,0,1
42,3,0,0,0,0,0,2,0,3
43,1,0,0,0,0,1,1,0,1
44,3,0,0,0,0,0,0,0,3
45,1,0,0,0,0,1,1,0,1
46,2,1,0,0,1,1,1,1,1
47,1,0,0,0,0,1,1,0,1
48,1,1,1,0,0,0,0,0,3
49,1,0,0,0,0,1,1,0,1
50,1,0,0,0,0,1,1,0,1
51,3,0,0,0,0,1,2,0,3
52,3,0,0,0,0,0,0,0,3
53,4,1,0,1,1,0,0,0,3
54,1,0,0,0,0,1,1,0,1
55,2,0,0,0,1,1,1,0,2
56,5,2,0,1,2,1,1,0,3
57,6,3,2,3,0,0,0,0,3
58,4,2,0,2,0,1,1,0,2
59,1,0,0,0,0,1,1,0,1
60,4,1,0,1,0,1,1,0,3
61,3,0,0,0,0,0,0,0,3
62,3,0,0,0,0,1,1,0,3
63,2,0,0,0,0,1,2,0,2
64,4,1,0,0,0,0,0,0,3
65,1,0,0,0,0,1,1,1,1
66,1,0,0,0,1,1,1,1,1
67,1,0,0,0,1,1,1,0,1
68,3,0,0,0,1,0,1,0,3
69,4,1,0,1,0,0,0,0,3
70,2,0,0,0,0,1,1,0,2
71,1,0,0,0,0,1,1,0,1
72,4,3,0,3,0,1,1,0,1
73,4,1,0,0,0,0,0,0,3
74,5,2,1,0,3,0,0,0,3
75,4,1,0,1,0,0,0,0,3
76,3,0,0,0,1,1,2,1,3
77,3,0,0,0,0,0,0,0,3
78,3,2,0,2,1,1,1,0,2
79,4,1,0,0,1,1,3,1,3
80,3,0,0,0,0,0,0,0,3
81,4,2,0,1,1,1,1,0,2
82,3,0,0,0,0,0,0,0,3
83,3,0,0,0,2,0,1,0,3
84,4,2,0,2,0,1,1,0,2
85,2,0,0,0,2,1,1,0,2
86,6,3,0,3,0,1,1,0,3
87,1,0,0,0,0,1,1,1,1
88,3,0,0,0,1,0,0,0,3
89,1,0,0,0,0,1,1,0,1
90,1,0,0,0,0,1,1,0,1
91,4,3,0,3,0,1,1,0,1
92,1,0,0,0,0,1,1,0,1
93,4,1,0,1,0,0,1,0,3
94,1,0,0,0,1,1,1,1,1
95,5,2,0,1,0,0,0,0,3
96,3,1,0,1,1,1,1,1,2
97,2,0,0,0,2,1,2,0,2
98,0,3,0,2,0,1,1,0,1
99,3,0,0,0,0,0,1,0,3
