run,numberOfFaultPredictedSegments,pileManipulations,wrongWorstPrediction,pileManipulationGraspFaults,correctObjectMatch,correctManipulations,correctGrasps,correctObjectManipulations,totalPredictions
0,1,0,0,0,0,1,1,0,1
1,3,0,0,0,0,0,0,0,3
2,1,0,0,0,0,1,1,0,1
3,2,0,0,0,1,1,1,0,2
4,3,0,0,0,2,1,1,1,3
5,3,0,0,0,0,0,0,0,3
6,3,2,0,0,0,1,1,0,1
7,3,1,1,1,1,1,1,0,2
8,2,0,0,0,1,1,2,1,2
9,4,1,0,0,0,0,1,0,3
10,1,0,0,0,0,1,1,0,1
11,2,0,0,0,0,1,1,0,2
12,6,3,1,0,3,0,0,0,3
13,1,0,0,0,0,1,1,0,1
14,2,0,0,0,0,1,1,0,2
15,2,0,0,0,0,1,1,0,2
16,6,3,1,1,1,0,1,0,3
17,4,3,0,3,0,1,1,0,1
18,3,0,0,0,1,0,0,0,3
19,5,2,0,2,1,0,0,0,3
20,2,1,1,1,0,1,1,0,1
21,3,0,0,0,0,0,1,0,3
22,3,3,3,3,0,0,0,0,3
23,3,0,0,0,0,0,0,0,3
24,3,0,0,0,2,1,1,0,3
25,4,1,0,1,0,1,1,0,3
26,3,0,0,0,1,0,2,0,3
27,3,0,0,0,0,0,0,0,3
28,2,0,0,0,1,1,2,0,2
29,3,0,0,0,0,0,1,0,3
30,1,0,0,0,0,1,1,1,1
31,5,3,0,2,0,1,1,0,2
32,4,1,0,0,0,0,0,0,3
33,1,0,0,0,1,1,1,1,1
34,1,0,0,0,1,1,1,1,1
35,1,0,0,0,0,1,1,0,1
36,3,0,0,0,0,1,1,0,3
37,1,1,0,0,1,1,1,1,1
38,3,0,0,0,3,1,1,1,3
39,1,0,0,0,1,1,1,1,1
40,2,0,0,0,0,1,1,0,2
41,1,0,0,0,0,1,1,0,1
42,3,2,0,1,0,1,1,0,1
43,1,0,0,0,0,1,1,0,1
44,3,0,0,0,0,0,0,0,3
45,3,0,0,0,1,0,3,0,3
46,4,1,0,1,0,0,0,0,3
47,1,0,0,0,0,1,1,0,1
48,3,0,0,0,1,0,0,0,3
49,3,0,0,0,0,0,0,0,3
50,1,0,0,0,0,1,1,0,1
51,1,0,0,0,0,1,1,0,1
52,1,0,0,0,1,1,1,1,1
53,2,1,0,0,0,1,1,0,1
54,4,1,0,1,0,0,0,0,3
55,3,1,0,1,1,1,2,0,2
56,3,1,0,1,0,1,1,1,2
57,1,0,0,0,1,1,1,1,1
58,2,0,0,0,1,1,1,0,2
59,3,0,0,0,0,0,1,0,3
60,2,0,0,0,0,1,1,0,2
61,1,0,0,0,0,1,1,0,1
62,4,1,0,0,3,0,0,0,3
63,3,1,0,0,1,1,1,0,2
64,1,0,0,0,0,1,1,0,1
65,5,2,0,1,0,0,1,0,3
66,3,0,0,0,0,1,2,0,3
67,3,0,0,0,0,0,0,0,3
68,3,0,0,0,0,0,0,0,3
69,4,1,0,0,0,0,0,0,3
70,2,0,0,0,1,1,2,0,2
71,3,0,0,0,0,1,1,1,3
72,4,2,0,1,1,0,0,0,3
73,1,0,0,0,0,1,1,0,1
74,5,3,3,2,0,1,1,0,2
75,1,0,0,0,0,1,1,0,1
76,2,1,0,0,0,1,1,0,1
77,3,0,0,0,0,0,0,0,3
78,1,0,0,0,0,1,1,0,1
79,3,3,1,0,0,1,1,0,1
80,2,1,0,1,0,1,1,0,1
81,3,0,0,0,0,0,1,0,3
82,1,0,0,0,0,1,1,0,1
83,2,0,0,0,0,1,1,0,2
84,3,0,0,0,2,0,0,0,3
85,4,1,0,1,0,0,0,0,3
86,3,0,0,0,0,0,0,0,3
87,1,0,0,0,1,1,1,1,1
88,4,3,0,2,0,1,1,0,1
89,3,0,0,0,0,0,0,0,3
90,5,3,3,3,0,1,1,0,2
91,3,0,0,0,1,0,0,0,3
92,4,3,0,1,0,1,1,0,1
93,3,0,0,0,0,0,0,0,3
94,1,0,0,0,0,1,1,0,1
95,3,0,0,0,0,0,0,0,3
96,1,0,0,0,0,1,1,0,1
97,3,0,0,0,0,0,0,0,3
98,1,0,0,0,0,1,1,0,1
99,5,2,0,1,0,0,0,0,3
