run,numberOfFaultPredictedSegments,pileManipulations,wrongWorstPrediction,pileManipulationGraspFaults,correctObjectMatch,correctManipulations,correctGrasps,correctObjectManipulations,totalPredictions
0,1,0,0,0,1,1,1,1,1
1,3,0,0,0,2,1,2,0,3
2,3,0,0,0,2,0,1,0,3
3,2,0,0,0,0,1,1,0,2
4,6,3,0,3,1,1,3,0,3
5,1,0,0,0,0,1,1,0,1
6,1,0,0,0,0,1,1,1,1
7,2,0,0,0,1,1,2,0,2
8,6,3,0,2,0,1,2,0,3
9,3,0,0,0,0,0,0,0,3
10,2,0,0,0,1,1,1,1,2
11,2,0,0,0,0,1,1,0,2
12,1,0,0,0,1,1,1,0,1
13,3,0,0,0,1,0,0,0,3
14,2,0,0,0,1,1,1,1,2
15,4,1,0,0,0,0,0,0,3
16,3,0,0,0,0,0,0,0,3
17,3,0,0,0,1,0,0,0,3
18,5,2,0,1,1,0,1,0,3
19,2,0,0,0,1,1,1,1,2
20,4,2,0,2,1,1,1,0,2
21,2,0,0,0,0,1,1,0,2
22,1,0,0,0,0,1,1,0,1
23,1,0,0,0,0,1,1,0,1
24,3,0,0,0,0,0,0,0,3
25,1,0,0,0,0,1,1,0,1
26,2,0,0,0,0,1,1,0,2
27,2,0,0,0,0,1,2,0,2
28,3,0,0,0,2,1,2,1,3
29,1,0,0,0,1,1,1,1,1
30,2,0,0,0,1,1,2,1,2
31,3,0,0,0,3,0,0,0,3
32,2,1,0,0,1,1,1,1,1
33,1,0,0,0,0,1,1,0,1
34,2,1,0,1,0,1,1,1,1
35,4,3,0,3,0,1,1,1,1
36,3,0,0,0,1,0,1,0,3
37,1,0,0,0,1,1,1,1,1
38,5,2,0,2,1,0,0,0,3
39,2,0,0,0,1,1,2,1,2
40,4,3,0,2,0,1,1,0,1
41,4,1,0,1,1,0,1,0,3
42,3,0,0,0,1,0,2,0,3
43,3,1,0,1,1,1,2,1,2
44,1,0,0,0,0,1,1,0,1
45,1,0,0,0,1,1,1,1,1
46,1,0,0,0,1,1,1,1,1
47,1,0,0,0,0,1,1,0,1
48,5,2,0,2,0,0,0,0,3
49,5,3,0,3,0,1,2,0,2
50,3,0,0,0,1,1,3,0,3
51,4,1,0,1,0,0,0,0,3
52,3,1,0,0,1,1,1,0,2
53,1,0,0,0,0,1,1,0,1
54,4,1,1,1,0,0,0,0,3
55,1,0,0,0,0,1,1,0,1
56,6,3,0,3,0,0,0,0,3
57,3,0,0,0,2,0,1,0,3
58,3,0,0,0,0,0,0,0,3
59,2,0,0,0,1,1,1,0,2
60,1,0,0,0,0,1,1,0,1
61,2,0,0,0,0,1,1,0,2
62,3,0,0,0,1,0,0,0,3
63,6,3,0,3,1,1,1,1,3
64,5,2,0,1,1,1,1,0,3
65,3,0,0,0,1,0,0,0,3
66,1,0,0,0,0,1,1,0,1
67,1,0,0,0,0,1,1,0,1
68,1,0,0,0,0,1,1,0,1
69,2,0,0,0,0,1,1,0,2
70,1,0,0,0,1,1,1,1,1
71,4,2,1,1,0,1,1,0,2
72,6,3,0,2,2,0,1,0,3
73,6,3,0,3,1,0,0,0,3
74,1,0,0,0,0,1,1,0,1
75,3,0,0,0,1,1,2,1,3
76,3,2,0,1,1,1,1,1,1
77,5,3,0,3,0,1,2,0,2
78,0,0,0,0,0,1,1,1,1
79,2,0,0,0,0,1,1,0,2
80,5,2,0,2,0,0,1,0,3
81,1,0,0,0,1,1,1,1,1
82,3,0,0,0,0,0,1,0,3
83,1,0,0,0,0,1,1,0,1
84,1,0,0,0,0,1,1,0,1
85,3,0,0,0,0,0,1,0,3
86,3,0,0,0,1,0,2,0,3
87,1,0,0,0,0,1,1,0,1
88,3,0,0,0,1,0,0,0,3
89,1,0,0,0,0,1,1,1,1
90,4,3,0,3,0,1,1,0,1
91,0,2,0,2,0,0,0,0,3
92,1,0,0,0,0,1,1,0,1
93,2,1,0,1,1,1,1,0,1
94,1,0,0,0,1,1,1,1,1
95,3,2,0,2,1,1,1,1,1
96,3,0,0,0,1,0,0,0,3
97,3,0,0,0,0,0,0,0,3
98,3,0,0,0,3,1,2,1,3
99,3,0,0,0,1,1,1,0,3
