run,numberOfFaultPredictedSegments,pileManipulations,wrongWorstPrediction,pileManipulationGraspFaults,correctObjectMatch,correctManipulations,correctGrasps,correctObjectManipulations,totalPredictions
0,2,2,0,0,2,1,1,1,2
1,6,3,0,2,3,0,1,0,3
2,0,0,0,0,0,0,0,0,3
3,1,3,2,2,0,1,1,0,1
4,4,3,3,0,2,1,2,0,2
5,4,3,0,3,0,1,1,0,1
6,4,1,1,1,3,0,1,0,3
7,1,0,0,0,0,1,1,0,1
8,3,2,1,0,0,1,1,0,2
9,4,3,0,3,0,1,1,0,1
10,1,0,0,0,0,1,1,0,1
11,4,3,1,1,0,1,1,0,1
12,6,3,3,3,0,1,3,0,3
13,3,3,1,2,0,1,1,0,1
14,4,3,3,2,0,1,1,1,1
15,2,2,1,1,0,1,1,0,1
16,1,0,0,0,0,1,1,0,1
17,5,3,0,2,1,1,1,1,2
18,6,3,0,3,3,0,0,0,3
19,4,2,1,1,3,0,0,0,3
20,0,0,0,0,0,1,1,0,1
21,3,3,2,0,0,0,0,0,3
22,3,1,0,0,2,0,0,0,3
23,1,0,0,0,0,1,1,0,1
24,4,3,0,3,1,1,1,1,1
25,5,2,0,2,2,0,0,0,3
26,1,3,0,0,1,1,1,1,1
27,4,3,1,2,1,1,1,0,1
28,6,3,0,2,3,0,0,0,3
29,3,3,3,1,0,1,1,0,1
30,4,3,0,2,1,1,1,1,1
31,6,3,0,2,1,0,0,0,3
32,3,3,2,0,1,1,1,0,1
33,4,3,0,0,1,0,1,0,3
34,2,3,2,1,2,1,1,0,2
35,4,3,3,2,0,1,1,0,1
36,1,0,0,0,1,1,1,1,1
37,3,2,1,2,1,1,1,1,1
38,2,0,0,0,0,1,2,0,2
39,3,2,0,0,1,1,2,1,2
40,2,0,0,0,0,1,1,0,2
41,2,1,0,0,0,1,1,0,1
42,4,2,2,2,1,1,1,0,2
43,3,2,0,2,0,1,1,0,1
44,3,0,0,0,0,0,0,0,3
45,3,3,0,0,3,0,0,0,3
46,5,3,0,1,0,0,0,0,3
47,2,3,1,0,0,1,1,0,1
48,4,3,3,2,0,1,1,0,2
49,2,1,1,1,1,1,1,0,1
50,2,2,1,0,1,1,1,1,1
51,1,2,0,0,2,1,1,1,2
52,2,1,1,1,0,1,1,0,1
53,0,0,0,0,0,1,1,0,1
54,6,3,3,3,3,0,0,0,3
55,2,2,1,0,1,1,1,1,1
56,6,3,0,2,3,0,0,0,3
57,3,3,1,3,0,1,1,0,1
58,2,2,0,0,2,1,1,1,2
59,1,0,0,0,1,1,1,1,1
60,4,3,0,2,0,1,1,0,1
61,3,3,3,3,1,1,1,0,1
62,5,2,0,0,1,0,0,0,3
63,6,3,3,3,0,1,2,0,3
64,5,2,0,1,3,0,0,0,3
65,1,3,2,1,1,1,1,0,1
66,3,1,1,0,1,0,1,0,3
67,3,2,1,0,0,0,1,0,3
68,4,3,2,2,1,1,1,0,2
69,1,0,0,0,1,1,1,1,1
70,3,3,3,0,1,1,1,0,1
71,2,3,1,1,0,1,1,0,1
72,5,2,1,1,0,0,0,0,3
73,6,3,2,2,0,0,0,0,3
74,1,0,0,0,1,1,1,1,1
75,4,3,1,2,0,1,1,0,1
76,5,3,2,1,3,1,1,1,3
77,1,1,1,1,0,1,1,0,1
78,3,2,0,1,0,1,1,0,1
79,3,3,2,1,0,1,1,0,1
80,1,0,0,0,0,1,1,0,1
81,3,3,3,0,0,1,1,0,1
82,5,2,1,2,1,0,1,0,3
83,3,3,0,0,3,1,1,1,3
84,4,3,3,3,0,1,1,0,1
85,4,3,0,2,0,0,1,0,3
86,0,0,0,0,0,1,1,1,1
87,5,2,0,1,0,0,3,0,3
88,2,3,1,0,0,1,1,0,1
89,2,3,1,0,1,1,1,1,1
90,0,0,0,0,1,1,1,1,1
91,0,0,0,0,1,1,1,1,1
92,3,3,0,3,1,1,1,0,2
93,2,0,0,0,0,1,2,0,2
94,3,1,0,1,2,0,0,0,3
95,4,3,3,1,1,1,1,0,1
96,6,3,1,3,3,1,3,0,3
97,5,3,3,3,0,1,1,0,2
98,5,3,2,2,2,1,1,1,2
99,1,0,0,0,0,1,1,0,1
