run,numberOfFaultPredictedSegments,pileManipulations,wrongWorstPrediction,pileManipulationGraspFaults,correctObjectMatch,correctManipulations,correctGrasps,correctObjectManipulations,totalPredictions
0,2,1,0,0,0,1,1,0,1
1,3,0,0,0,0,1,2,0,3
2,4,2,1,1,0,1,1,0,2
3,4,3,2,1,0,1,1,0,1
4,0,2,2,2,0,0,0,0,3
5,4,3,2,1,1,1,1,0,1
6,4,3,2,2,0,1,1,0,1
7,1,1,0,0,1,1,1,0,1
8,4,3,3,2,1,1,1,1,1
9,1,2,0,0,0,0,0,0,3
10,2,3,2,2,0,1,1,0,1
11,3,0,0,0,3,0,0,0,3
12,2,1,0,1,1,1,1,0,1
13,6,3,1,1,0,1,1,0,3
14,5,2,2,2,0,0,1,0,3
15,1,0,0,0,1,1,1,0,1
16,2,1,0,0,1,1,1,0,1
17,5,3,1,3,2,1,1,0,2
18,6,3,1,2,0,0,0,0,3
19,4,2,1,1,1,1,2,0,3
20,1,3,3,2,0,1,1,0,1
21,2,0,0,0,1,1,1,1,2
22,3,3,2,1,0,1,1,0,1
23,4,3,1,1,0,1,1,0,1
24,5,3,2,2,1,1,1,1,2
25,2,3,2,2,0,1,1,0,1
26,6,3,0,3,2,0,1,0,3
27,5,3,0,1,2,1,2,0,3
28,3,3,1,1,1,1,1,0,1
29,2,2,1,0,0,1,1,0,1
30,2,3,0,1,1,1,1,1,1
31,4,3,2,2,0,1,1,0,1
32,4,3,1,2,1,1,1,0,1
33,3,2,1,1,0,1,1,0,2
34,5,3,0,1,0,1,1,0,2
35,2,1,0,0,0,1,1,0,1
36,3,3,1,0,0,1,2,0,2
37,6,3,0,0,0,0,0,0,3
38,3,3,3,0,0,0,0,0,3
39,6,3,0,3,1,0,0,0,3
40,4,3,2,0,0,1,1,0,1
41,6,3,1,0,1,1,1,0,3
42,3,3,0,3,0,1,1,0,1
43,3,3,1,2,0,1,1,0,3
44,4,2,2,1,3,0,1,0,3
45,4,2,0,2,1,1,1,0,2
46,6,3,1,3,2,0,0,0,3
47,5,2,1,0,1,0,3,0,3
48,6,3,3,3,0,1,1,0,3
49,3,3,1,1,1,1,1,1,1
50,2,3,1,2,1,1,2,1,3
51,4,3,3,0,0,1,1,1,1
52,4,3,0,2,0,1,1,0,1
53,5,3,1,3,1,1,2,0,2
54,4,3,0,2,1,1,2,0,2
55,2,1,1,0,0,1,1,0,1
56,5,3,1,2,1,1,1,0,3
57,4,3,2,2,0,1,1,0,1
58,6,3,0,2,3,0,0,0,3
59,5,3,3,3,0,1,2,0,2
60,4,3,1,1,0,1,1,0,1
61,2,3,0,1,1,1,1,1,1
62,2,2,0,0,0,1,2,0,2
63,5,2,0,2,2,0,0,0,3
64,2,1,1,0,1,0,1,0,3
65,3,3,1,0,0,1,1,0,1
66,6,3,0,2,2,1,1,1,3
67,5,3,0,0,2,0,0,0,3
68,3,3,1,0,2,0,0,0,3
69,1,0,0,0,0,1,1,0,1
70,4,2,1,2,2,1,1,0,3
71,2,1,1,0,1,1,1,0,1
72,4,2,1,1,0,1,1,0,2
73,4,3,1,3,1,1,1,0,1
74,2,2,2,0,1,1,1,0,1
75,4,2,0,2,1,1,1,1,2
76,5,3,1,2,1,1,1,0,2
77,2,3,0,1,1,1,1,1,1
78,3,3,1,0,1,1,1,0,1
79,3,3,1,3,0,1,1,0,1
80,4,3,0,2,1,1,1,1,1
81,6,3,0,2,1,1,2,0,3
82,6,3,2,3,0,0,0,0,3
83,3,2,2,1,0,1,1,0,2
84,4,3,0,0,1,0,0,0,3
85,6,3,0,3,1,0,0,0,3
86,4,3,1,1,0,1,1,0,1
87,4,3,2,2,1,1,1,0,1
88,2,3,2,1,0,1,1,0,1
89,2,0,0,0,1,1,1,1,2
90,3,3,0,2,0,1,1,0,1
91,2,2,1,1,0,1,1,0,1
92,6,3,3,3,3,0,0,0,3
93,1,2,0,0,0,1,1,0,1
94,2,1,0,1,0,1,1,0,1
95,4,3,1,2,1,1,1,0,1
96,5,3,0,3,2,1,1,1,2
97,5,2,2,1,0,0,1,0,3
98,3,3,0,1,1,1,1,0,1
99,5,3,3,0,1,0,0,0,3
