run,numberOfFaultPredictedSegments,pileManipulations,wrongWorstPrediction,pileManipulationGraspFaults,correctObjectMatch,correctManipulations,correctGrasps,correctObjectManipulations,totalPredictions
0,2,1,1,1,0,1,1,1,1
1,4,1,0,0,2,1,1,1,3
2,4,1,0,0,0,1,1,0,3
3,5,3,1,1,2,0,0,0,3
4,6,3,2,3,1,0,1,0,3
5,6,3,2,1,0,0,0,0,3
6,2,1,0,1,0,1,1,0,2
7,2,0,0,0,0,1,2,0,2
8,0,3,0,0,2,1,1,1,2
9,4,3,0,2,1,1,1,0,1
10,2,3,2,0,1,1,1,0,1
11,4,3,2,0,0,1,1,0,1
12,0,0,0,0,0,1,1,1,1
13,6,3,0,1,3,0,0,0,3
14,2,3,0,0,0,1,2,0,2
15,4,3,2,1,1,1,1,1,1
16,1,1,1,0,1,1,1,1,1
17,6,3,0,3,3,0,0,0,3
18,1,1,0,1,1,1,1,1,1
19,4,1,0,0,1,0,0,0,3
20,4,3,0,2,0,1,1,0,2
21,2,1,1,1,0,1,1,0,1
22,1,2,0,0,2,1,2,1,3
23,1,0,0,0,1,1,1,0,1
24,3,3,0,2,3,0,0,0,3
25,4,3,0,3,1,1,1,0,1
26,0,0,0,0,0,1,1,0,1
27,4,1,0,1,1,0,1,0,3
28,3,3,3,1,1,1,1,0,1
29,4,2,1,1,1,1,1,0,2
30,4,3,1,0,0,1,1,0,1
31,6,3,0,3,1,0,0,0,3
32,3,3,2,0,1,1,1,0,1
33,5,2,1,0,0,1,1,0,3
34,6,3,1,1,3,0,0,0,3
35,3,3,1,0,0,1,1,0,1
36,4,3,1,2,1,1,1,1,1
37,4,3,0,2,1,1,1,1,1
38,6,3,0,3,3,0,2,0,3
39,1,2,0,0,1,1,1,1,1
40,2,2,0,0,1,1,1,1,1
41,4,3,0,1,0,1,1,0,1
42,5,3,0,3,2,1,1,0,2
43,3,3,2,0,2,1,1,0,2
44,4,3,0,3,1,1,1,1,1
45,1,0,0,0,1,1,1,1,1
46,4,3,0,3,1,1,1,0,1
47,4,2,0,2,2,1,1,0,2
48,4,3,0,1,3,0,0,0,3
49,4,3,0,1,1,1,1,1,1
50,0,0,0,0,1,1,1,1,1
51,2,2,0,0,3,0,0,0,3
52,4,3,2,3,1,1,1,0,1
53,2,0,0,0,1,0,0,0,3
54,6,3,1,2,3,0,0,0,3
55,4,3,2,2,0,1,1,0,1
56,6,3,0,2,3,0,0,0,3
57,0,0,0,0,0,1,1,0,1
58,2,1,0,0,2,1,1,1,2
59,2,1,0,1,1,1,1,1,1
60,3,1,0,0,3,0,0,0,3
61,6,3,0,2,3,0,0,0,3
62,1,0,0,0,0,1,1,0,1
63,4,3,0,3,0,1,1,0,1
64,4,2,0,1,3,0,0,0,3
65,4,1,0,0,0,1,1,0,3
66,1,0,0,0,0,1,1,0,1
67,5,3,0,1,1,1,2,0,2
68,4,2,0,1,1,1,1,0,2
69,4,3,0,1,2,1,2,0,2
70,3,3,1,0,1,1,1,0,1
71,6,3,0,3,3,0,1,0,3
72,5,3,3,2,0,1,2,0,2
73,3,3,1,1,1,1,1,0,1
74,0,1,0,1,0,0,1,0,3
75,4,3,0,3,1,1,1,0,1
76,3,3,0,0,2,1,1,1,2
77,1,0,0,0,1,1,1,1,1
78,5,2,0,2,0,1,1,0,3
79,0,0,0,0,0,1,1,0,1
80,4,3,2,1,1,1,1,1,1
81,3,3,0,2,0,1,1,0,1
82,5,3,2,2,2,1,1,1,2
83,2,1,0,0,0,0,0,0,3
84,5,3,1,0,2,1,1,1,3
85,5,3,2,1,2,1,1,0,3
86,2,3,1,0,0,1,1,0,1
87,4,3,2,2,1,1,1,1,1
88,5,3,0,1,1,1,3,0,3
89,4,3,2,1,1,1,1,1,1
90,4,3,0,1,0,1,1,0,1
91,3,3,0,1,2,1,1,1,2
92,6,3,0,3,3,0,0,0,3
93,4,3,1,1,1,1,1,1,1
94,2,1,1,1,0,1,1,0,1
95,5,2,0,0,2,0,0,0,3
96,4,2,0,1,2,1,2,0,2
97,5,2,0,2,0,1,2,0,3
98,4,3,2,3,0,1,1,0,1
99,6,3,0,2,2,0,0,0,3
