run,numberOfFaultPredictedSegments,pileManipulations,wrongWorstPrediction,pileManipulationGraspFaults,correctObjectMatch,correctManipulations,correctGrasps,correctObjectManipulations,totalPredictions
0,0,3,0,1,3,0,1,0,3
1,0,0,0,0,0,1,1,0,1
2,4,3,1,1,1,1,1,0,2
3,0,3,1,0,1,1,1,0,1
4,0,0,0,0,0,1,1,0,1
5,0,2,0,2,2,1,2,1,3
6,0,3,0,3,0,1,1,0,1
7,0,0,0,0,2,1,1,1,2
8,0,0,0,0,0,1,1,0,1
9,0,3,3,2,0,1,1,0,1
10,0,1,0,1,2,1,1,0,3
11,0,1,0,0,1,1,1,1,1
12,0,0,0,0,3,1,2,1,3
13,0,3,0,3,0,1,1,1,1
14,0,1,0,0,1,1,1,1,1
15,0,3,3,3,1,1,1,0,3
16,5,3,2,2,0,1,1,0,2
17,0,3,0,3,1,0,0,0,3
18,0,0,0,0,0,1,1,0,1
19,0,3,0,2,0,1,1,0,1
20,0,3,0,1,0,1,1,0,1
21,0,3,0,3,0,1,1,0,1
22,0,3,3,2,0,1,1,0,3
23,0,0,0,0,1,1,1,1,1
24,0,0,0,0,2,1,1,1,2
25,0,0,0,0,0,1,1,0,1
26,4,3,3,3,0,1,1,0,1
27,0,0,0,0,3,0,0,0,3
28,0,0,0,0,0,1,1,0,1
29,0,3,0,2,1,1,1,1,1
30,0,1,0,1,0,0,2,0,3
31,0,3,0,1,0,1,1,0,2
32,0,0,0,0,2,1,1,1,2
33,0,3,0,3,0,1,1,0,1
34,0,0,0,0,2,1,1,1,2
35,0,1,0,0,2,1,1,1,2
36,0,0,0,0,0,1,1,0,1
37,0,2,0,0,0,1,1,0,2
38,0,0,0,0,0,1,1,0,1
39,0,0,0,0,1,1,1,1,1
40,0,2,1,1,0,1,1,0,1
41,0,3,0,3,0,1,1,0,2
42,0,3,2,1,0,1,3,0,3
43,0,3,0,0,1,1,1,1,1
44,0,0,0,0,2,1,1,1,2
45,0,0,0,0,2,0,0,0,3
46,0,3,0,2,2,1,1,1,2
47,2,3,0,2,0,1,1,0,1
48,0,2,0,0,0,1,1,0,1
49,0,0,0,0,1,1,1,1,1
50,0,2,1,0,3,1,1,0,3
51,0,3,0,1,1,1,1,1,1
52,4,2,0,0,0,1,1,0,2
53,0,2,0,1,3,1,1,1,3
54,0,2,0,1,0,0,0,0,3
55,0,3,0,1,0,1,1,0,1
56,0,0,0,0,1,1,1,1,1
57,0,2,0,1,2,1,1,1,2
58,4,1,1,1,0,0,0,0,3
59,0,2,0,1,2,1,1,1,2
60,0,3,1,1,0,1,1,0,1
61,0,3,3,3,0,1,1,0,1
62,0,2,0,0,0,0,1,0,3
63,0,0,0,0,2,1,1,1,2
64,0,2,0,1,0,1,1,0,1
65,0,0,0,0,3,0,0,0,3
66,0,3,0,2,0,1,1,0,1
67,0,2,0,1,1,1,1,1,2
68,0,1,1,1,2,0,1,0,3
69,0,3,0,2,3,1,1,1,3
70,0,3,0,2,1,1,1,1,1
71,0,3,2,2,0,0,2,0,3
72,0,0,0,0,0,1,1,1,1
73,0,2,0,0,1,1,1,1,1
74,0,3,2,1,0,1,1,0,1
75,0,0,0,0,2,0,1,0,3
76,0,1,0,0,2,1,1,1,2
77,0,0,0,0,0,1,1,0,1
78,0,2,2,2,0,0,1,0,3
79,0,1,1,1,0,1,1,0,3
80,0,0,0,0,1,1,1,1,1
81,0,2,0,1,0,0,0,0,3
82,0,3,0,0,0,1,1,0,1
83,0,3,0,3,1,0,1,0,3
84,2,3,0,0,3,1,3,1,3
85,0,3,0,2,0,1,1,0,1
86,2,2,0,1,0,1,1,0,1
87,0,2,0,0,3,0,1,0,3
88,0,1,0,0,2,0,2,0,3
89,0,2,0,1,0,1,2,0,3
90,3,0,0,0,3,0,0,0,3
91,0,3,2,3,0,0,0,0,3
92,0,3,2,0,1,1,2,0,2
93,0,2,0,1,0,1,1,0,1
94,1,3,0,2,3,1,2,1,3
95,0,3,0,3,0,1,1,0,1
96,0,3,0,2,0,1,1,0,3
97,0,3,3,2,0,1,1,0,1
98,0,3,0,3,0,1,1,0,1
99,0,3,1,1,0,1,1,0,1
