run,numberOfFaultPredictedSegments,pileManipulations,wrongWorstPrediction,pileManipulationGraspFaults,correctObjectMatch,correctManipulations,correctGrasps,correctObjectManipulations,totalPredictions
0,0,0,0,0,0,1,1,0,2
1,0,2,1,1,0,1,1,0,1
2,0,2,0,1,3,0,0,0,3
3,0,0,0,0,0,1,1,0,1
4,0,1,0,1,0,1,1,0,3
5,0,1,0,1,2,1,2,1,3
6,0,0,0,0,0,1,1,0,1
7,0,3,3,3,0,1,1,0,2
8,0,2,0,1,1,1,2,1,2
9,0,3,0,2,0,0,0,0,3
10,0,3,1,1,3,0,0,0,3
11,5,3,3,3,1,0,1,0,3
12,0,1,0,0,0,1,1,0,2
13,0,0,0,0,0,0,1,0,3
14,0,0,0,0,0,1,1,0,1
15,0,3,0,1,1,1,1,1,1
16,0,3,0,2,0,1,1,0,1
17,0,1,0,0,0,1,1,0,1
18,0,0,0,0,0,1,1,0,1
19,0,3,2,3,0,1,1,0,1
20,2,1,0,1,1,0,0,0,3
21,0,0,0,0,0,1,1,0,1
22,0,3,0,1,0,1,1,0,1
23,1,2,1,2,3,0,2,0,3
24,0,0,0,0,0,1,1,0,2
25,1,2,1,2,0,0,0,0,3
26,0,1,0,0,0,0,0,0,3
27,2,3,2,2,1,1,1,0,1
28,0,3,1,1,0,1,1,0,1
29,0,0,0,0,0,1,1,0,1
30,0,1,0,1,2,0,0,0,3
31,0,3,1,0,1,1,1,1,1
32,0,2,0,1,1,1,1,0,3
33,0,0,0,0,1,1,1,1,1
34,0,1,1,0,1,0,0,0,3
35,4,1,0,0,0,1,1,0,3
36,0,1,0,0,1,1,1,1,1
37,0,3,2,1,0,1,1,0,1
38,1,3,0,2,2,1,1,0,2
39,0,0,0,0,0,1,1,0,1
40,1,2,0,1,2,1,2,1,2
41,0,3,0,2,0,1,1,0,3
42,0,2,0,1,1,1,1,0,2
43,2,2,1,1,1,1,1,1,1
44,1,0,0,0,1,1,1,1,1
45,4,2,0,2,3,1,1,1,3
46,0,3,0,2,1,0,0,0,3
47,0,3,0,3,0,1,1,0,3
48,4,2,0,1,1,1,2,0,2
49,0,1,1,1,1,1,1,0,3
50,0,3,0,2,0,1,1,0,1
51,3,3,0,3,1,1,1,1,1
52,0,0,0,0,0,1,1,0,1
53,4,1,1,0,0,0,0,0,3
54,0,2,0,1,0,0,0,0,3
55,0,2,2,2,0,0,0,0,3
56,0,2,0,2,0,1,1,0,1
57,0,0,0,0,0,1,2,0,2
58,0,2,1,0,1,1,1,0,1
59,0,3,0,2,0,1,1,0,1
60,0,3,1,1,1,1,1,0,3
61,0,1,0,0,1,0,1,0,3
62,0,1,1,1,0,1,1,0,1
63,0,1,0,0,0,0,0,0,3
64,0,3,0,2,2,0,1,0,3
65,0,2,0,1,0,1,1,0,3
66,0,1,1,0,1,1,1,0,2
67,3,2,1,1,0,1,1,0,3
68,0,0,0,0,0,1,1,0,1
69,0,3,0,2,0,1,1,0,1
70,0,3,2,2,0,1,1,0,2
71,0,0,0,0,3,0,0,0,3
72,0,1,0,1,1,0,0,0,3
73,0,2,1,1,0,1,1,0,1
74,0,0,0,0,0,1,1,0,1
75,0,3,0,3,1,1,1,1,2
76,0,3,2,0,0,1,1,0,1
77,0,3,1,2,0,1,1,0,2
78,0,3,1,1,0,1,1,0,1
79,0,0,0,0,0,0,0,0,3
80,0,3,2,1,2,0,1,0,3
81,0,3,0,0,3,0,0,0,3
82,0,0,0,0,1,1,1,1,1
83,0,0,0,0,1,1,1,1,2
84,0,0,0,0,1,1,2,1,3
85,0,0,0,0,0,1,1,0,1
86,4,2,0,2,0,0,1,0,3
87,0,0,0,0,0,1,1,0,1
88,0,0,0,0,0,1,1,0,1
89,0,1,1,1,1,0,0,0,3
90,0,3,0,0,1,1,1,1,3
91,0,0,0,0,1,1,1,1,1
92,0,3,0,1,1,1,1,1,1
93,0,1,1,1,0,0,0,0,3
94,0,1,0,0,1,0,0,0,3
95,0,2,1,0,0,1,2,0,3
96,0,0,0,0,0,1,1,0,2
97,2,2,0,2,0,0,0,0,3
98,0,2,1,0,1,1,1,0,1
99,0,3,3,3,0,1,1,0,1
