run,numberOfFaultPredictedSegments,pileManipulations,wrongWorstPrediction,pileManipulationGraspFaults,correctObjectMatch,correctManipulations,correctGrasps,correctObjectManipulations,totalPredictions
0,0,0,0,0,1,1,1,0,2
1,0,0,0,0,0,1,1,1,1
2,0,2,0,1,0,0,0,0,3
3,0,0,0,0,1,1,1,1,1
4,0,0,0,0,0,1,1,0,1
5,4,3,0,3,0,1,1,0,1
6,0,3,1,0,1,0,0,0,1
7,4,3,0,1,0,1,1,0,1
8,0,3,1,1,1,1,1,1,1
9,0,1,1,0,3,0,0,0,3
10,0,1,0,0,1,1,3,0,3
11,0,3,0,1,2,1,2,0,3
12,0,0,0,0,1,1,1,1,1
13,0,2,1,0,1,1,2,0,2
14,0,2,0,1,2,1,1,1,2
15,0,3,0,2,2,1,1,1,2
16,4,3,0,3,0,1,1,0,1
17,0,0,0,0,1,1,1,1,1
18,0,0,0,0,0,1,1,1,1
19,0,2,1,0,2,1,1,0,2
20,0,1,0,0,3,0,0,0,3
21,0,0,0,0,1,1,1,1,1
22,0,3,0,3,1,1,1,1,1
23,0,2,0,1,2,0,0,0,3
24,0,0,0,0,0,0,0,0,3
25,0,2,0,1,3,1,2,0,3
26,0,2,0,2,1,1,1,1,1
27,0,1,0,0,0,1,1,0,1
28,1,3,0,2,0,1,1,0,1
29,0,2,0,0,2,1,2,1,2
30,0,0,0,0,1,1,1,1,1
31,0,0,0,0,1,1,1,1,1
32,3,1,0,1,3,1,1,1,3
33,0,3,0,0,1,1,1,1,1
34,0,3,0,3,1,1,1,1,1
35,0,3,1,2,0,1,1,0,1
36,0,2,0,1,1,1,1,0,3
37,1,0,0,0,2,1,1,1,2
38,0,2,0,1,0,1,1,0,1
39,0,1,0,0,1,1,1,1,1
40,0,0,0,0,1,1,1,1,1
41,0,1,0,0,0,0,0,0,3
42,0,0,0,0,1,1,1,1,1
43,0,0,0,0,3,1,1,1,3
44,0,1,0,1,2,0,1,0,3
45,0,0,0,0,1,1,1,1,1
46,0,0,0,0,1,1,1,0,1
47,2,2,0,0,1,0,1,0,3
48,0,0,0,0,1,1,1,1,1
49,0,0,0,0,1,1,1,1,1
50,0,1,0,0,1,1,1,1,1
51,0,3,0,2,3,0,0,0,3
52,2,0,0,0,2,1,1,1,2
53,0,0,0,0,1,1,1,0,3
54,0,3,0,3,1,1,1,0,1
55,0,3,1,3,0,1,1,1,1
56,1,0,0,0,2,0,1,0,3
57,0,0,0,0,0,1,1,0,2
58,0,3,0,3,1,1,1,1,1
59,0,2,0,1,0,1,1,0,2
60,0,0,0,0,1,1,1,1,2
61,0,2,0,2,0,1,1,0,1
62,2,0,0,0,2,1,1,1,2
63,0,3,1,1,0,1,1,0,1
64,0,0,0,0,1,1,1,1,1
65,0,0,0,0,0,1,1,1,1
66,0,0,0,0,0,1,1,0,1
67,0,0,0,0,0,1,1,0,1
68,0,0,0,0,1,1,1,1,1
69,0,0,0,0,1,1,1,1,3
70,0,1,0,0,1,1,1,1,1
71,0,2,0,2,0,1,1,0,2
72,0,3,0,1,0,1,1,0,1
73,0,2,2,1,2,1,2,1,2
74,0,0,0,0,1,1,1,0,1
75,0,2,0,1,2,1,2,0,2
76,0,0,0,0,1,1,1,1,1
77,0,1,0,0,1,1,1,1,1
78,0,3,0,1,0,1,1,0,1
79,0,2,0,1,3,0,0,0,3
80,0,2,0,1,0,1,1,0,2
81,0,0,0,0,0,1,1,0,1
82,0,1,0,0,0,1,1,0,2
83,0,1,0,1,1,1,1,1,1
84,0,0,0,0,1,1,1,1,1
85,0,1,0,1,0,1,1,0,1
86,0,2,0,0,1,1,1,0,2
87,0,3,0,0,0,1,1,0,1
88,0,0,0,0,3,0,0,0,3
89,0,0,0,0,3,0,0,0,3
90,0,0,0,0,3,0,0,0,3
91,0,2,0,1,3,0,1,0,3
92,0,0,0,0,3,1,1,0,3
93,0,3,1,0,1,1,1,0,2
94,0,2,0,2,0,1,1,0,1
95,0,0,0,0,2,1,2,1,2
96,0,0,0,0,1,1,1,1,1
97,0,0,0,0,1,1,1,1,1
98,0,3,0,0,0,1,1,0,1
99,4,2,0,1,3,0,0,0,3
