run,numberOfFaultPredictedSegments,pileManipulations,wrongWorstPrediction,pileManipulationGraspFaults,correctObjectMatch,correctManipulations,correctGrasps,correctObjectManipulations,totalPredictions
0,2,0,0,0,0,1,1,0,2
1,3,0,0,0,0,0,0,0,3
2,1,0,0,0,1,1,1,1,1
3,1,0,0,0,0,1,1,0,1
4,1,0,0,0,0,1,1,0,1
5,4,1,0,1,0,1,1,1,3
6,3,0,0,0,0,0,0,0,3
7,3,0,0,0,0,0,2,0,3
8,3,0,0,0,0,0,0,0,3
9,2,0,0,0,1,1,1,0,2
10,3,0,0,0,2,0,1,0,3
11,3,0,0,0,1,0,0,0,3
12,4,1,0,1,1,1,3,1,3
13,4,3,0,3,1,1,1,1,1
14,3,0,0,0,0,0,0,0,3
15,3,0,0,0,0,1,1,0,3
16,3,0,0,0,1,1,1,1,3
17,1,2,1,1,2,0,0,0,3
18,1,0,0,0,1,1,1,1,1
19,3,0,0,0,0,0,0,0,3
20,3,0,0,0,1,1,2,0,3
21,1,0,0,0,0,1,1,0,1
22,4,1,0,0,1,0,0,0,3
23,3,0,0,0,0,0,0,0,3
24,4,1,0,0,1,0,0,0,3
25,3,0,0,0,0,0,0,0,3
26,2,1,0,0,0,1,1,0,1
27,3,0,0,0,2,0,0,0,3
28,3,0,0,0,2,0,0,0,3
29,2,0,0,0,0,1,1,0,2
30,2,0,0,0,1,1,1,1,2
31,2,0,0,0,0,1,1,0,2
32,1,0,0,0,0,1,1,0,1
33,3,0,0,0,0,1,2,0,3
34,3,0,0,0,0,0,0,0,3
35,2,0,0,0,0,1,1,0,2
36,1,0,0,0,0,1,1,0,1
37,2,0,0,0,0,1,2,0,2
38,2,0,0,0,0,1,1,0,2
39,6,3,0,3,0,0,0,0,3
40,3,0,0,0,0,0,0,0,3
41,2,0,0,0,0,1,1,0,2
42,2,0,0,0,1,1,1,0,2
43,2,0,0,0,1,1,1,1,2
44,1,0,0,0,0,1,1,0,1
45,3,0,0,0,0,1,1,0,3
46,6,3,0,3,0,0,0,0,3
47,1,0,0,0,0,1,1,1,1
48,3,0,0,0,0,0,1,0,3
49,2,0,0,0,1,1,1,0,2
50,1,0,0,0,1,1,1,0,1
51,3,0,0,0,0,0,0,0,3
52,2,0,0,0,0,1,1,0,2
53,3,0,0,0,1,0,0,0,3
54,2,0,0,0,1,1,1,0,2
55,5,2,0,2,0,0,0,0,3
56,1,0,0,0,0,1,1,0,1
57,3,0,0,0,0,0,0,0,3
58,4,3,0,3,0,1,1,0,1
59,0,3,0,3,0,0,0,0,3
60,1,0,0,0,0,1,1,0,1
61,1,0,0,0,0,1,1,0,1
62,3,0,0,0,3,1,1,0,3
63,3,0,0,0,0,0,0,0,3
64,1,0,0,0,0,1,1,0,1
65,2,1,0,1,0,1,1,0,1
66,3,0,0,0,0,0,0,0,3
67,3,0,0,0,1,1,1,1,3
68,3,0,0,0,0,0,0,0,3
69,1,0,0,0,1,1,1,1,1
70,2,1,0,1,0,1,1,0,1
71,1,0,0,0,0,1,1,0,1
72,1,0,0,0,1,1,1,1,1
73,2,0,0,0,0,1,1,0,2
74,1,0,0,0,0,1,1,0,1
75,1,0,0,0,0,1,1,0,1
76,3,0,0,0,1,1,3,1,3
77,3,0,0,0,3,0,0,0,3
78,5,2,2,1,2,0,0,0,3
79,1,0,0,0,1,1,1,1,1
80,3,0,0,0,2,0,1,0,3
81,1,0,0,0,0,1,1,0,1
82,4,1,0,1,0,0,0,0,3
83,5,2,0,1,2,0,1,0,3
84,3,0,0,0,2,1,1,1,3
85,3,0,0,0,0,0,0,0,3
86,3,0,0,0,1,1,2,0,3
87,1,0,0,0,1,1,1,0,1
88,3,0,0,0,1,0,1,0,3
89,4,2,0,2,1,1,1,1,2
90,4,1,0,1,0,0,0,0,3
91,3,0,0,0,0,0,0,0,3
92,3,0,0,0,0,0,0,0,3
93,2,0,0,0,0,1,2,0,2
94,2,0,0,0,0,1,1,0,2
95,2,0,0,0,0,1,2,0,2
96,5,2,0,0,0,0,0,0,3
97,1,0,0,0,1,1,1,1,1
98,3,0,0,0,0,0,1,0,3
99,4,1,0,1,1,0,0,0,3
