run,numberOfFaultPredictedSegments,pileManipulations,wrongWorstPrediction,pileManipulationGraspFaults,correctObjectMatch,correctManipulations,correctGrasps,correctObjectManipulations,totalPredictions
0,3,0,0,0,1,0,0,0,3
1,3,0,0,0,0,0,0,0,3
2,3,0,0,0,0,1,2,0,3
3,1,0,0,0,0,1,1,0,1
4,3,0,0,0,1,0,0,0,3
5,4,2,0,2,0,1,1,1,2
6,2,0,0,0,0,1,1,0,2
7,4,1,0,1,0,0,0,0,3
8,3,0,0,0,0,0,0,0,3
9,3,0,0,0,1,0,1,0,3
10,1,0,0,0,1,1,1,0,1
11,3,0,0,0,0,0,1,0,3
12,3,0,0,0,0,0,1,0,3
13,4,3,0,3,0,1,1,0,1
14,4,1,0,1,0,1,3,0,3
15,1,0,0,0,0,1,1,0,1
16,4,3,0,3,0,1,1,1,1
17,3,0,0,0,0,0,0,0,3
18,2,1,0,1,0,1,1,0,1
19,3,0,0,0,1,0,2,0,3
20,3,0,0,0,1,0,0,0,3
21,3,0,0,0,1,0,0,0,3
22,3,0,0,0,1,0,1,0,3
23,4,2,1,2,0,1,1,0,2
24,1,0,0,0,0,1,1,0,1
25,3,0,0,0,1,0,0,0,3
26,4,2,0,2,1,1,1,1,2
27,6,3,0,3,0,0,0,0,3
28,3,0,0,0,1,1,1,0,3
29,3,0,0,0,1,0,0,0,3
30,5,2,1,1,0,1,3,0,3
31,3,0,0,0,0,0,0,0,3
32,5,3,0,3,1,1,1,0,2
33,3,0,0,0,1,0,0,0,3
34,1,0,0,0,0,1,1,0,1
35,1,0,0,0,0,1,1,0,1
36,1,0,0,0,0,1,1,0,1
37,4,1,0,1,1,0,0,0,3
38,2,0,0,0,0,1,2,0,2
39,5,2,0,1,0,1,1,0,3
40,1,0,0,0,0,1,1,0,1
41,2,0,0,0,1,1,1,0,2
42,5,2,0,2,0,0,0,0,3
43,1,0,0,0,0,1,1,1,1
44,0,3,0,3,0,1,2,0,2
45,3,0,0,0,0,0,0,0,3
46,2,0,0,0,0,1,1,0,2
47,4,3,0,3,0,1,1,0,1
48,3,0,0,0,1,0,0,0,3
49,0,2,1,1,0,0,0,0,3
50,4,3,0,3,1,1,1,0,1
51,1,0,0,0,1,1,1,0,1
52,3,0,0,0,0,0,0,0,3
53,3,0,0,0,0,0,0,0,3
54,3,0,0,0,0,0,0,0,3
55,3,0,0,0,0,0,0,0,3
56,6,3,0,3,0,0,0,0,3
57,3,0,0,0,0,0,2,0,3
58,4,1,1,0,0,0,0,0,3
59,5,2,0,2,0,0,0,0,3
60,2,0,0,0,1,1,1,1,2
61,3,0,0,0,0,0,0,0,3
62,3,0,0,0,0,0,0,0,3
63,3,0,0,0,0,1,1,0,3
64,3,0,0,0,1,0,1,0,3
65,3,0,0,0,1,1,1,1,3
66,3,0,0,0,0,0,0,0,3
67,3,0,0,0,2,0,0,0,3
68,3,0,0,0,0,0,0,0,3
69,1,0,0,0,0,1,1,0,1
70,1,0,0,0,0,1,1,1,1
71,2,3,0,2,0,1,1,0,2
72,4,2,0,2,0,1,2,0,2
73,6,3,0,1,3,0,0,0,3
74,2,0,0,0,0,1,1,0,2
75,1,0,0,0,0,1,1,0,1
76,2,0,0,0,0,1,1,1,2
77,3,0,0,0,2,0,1,0,3
78,2,0,0,0,0,1,1,1,2
79,2,0,0,0,0,1,2,0,2
80,6,3,0,3,2,0,0,0,3
81,3,0,0,0,0,0,0,0,3
82,1,0,0,0,0,1,1,0,1
83,2,0,0,0,0,1,1,0,2
84,3,0,0,0,0,1,1,0,3
85,4,1,0,0,2,0,0,0,3
86,2,0,0,0,0,1,1,0,2
87,5,2,0,2,0,0,0,0,3
88,3,0,0,0,0,0,0,0,3
89,1,0,0,0,0,1,1,0,1
90,5,2,1,2,0,0,1,0,3
91,1,0,0,0,0,1,1,0,1
92,2,1,0,1,0,1,1,1,1
93,2,0,0,0,0,1,1,0,2
94,4,1,0,1,1,0,0,0,3
95,3,1,1,0,0,1,1,0,2
96,2,0,0,0,1,1,2,0,2
97,6,3,0,3,0,1,1,0,3
98,3,0,0,0,2,1,1,1,3
99,5,2,0,2,0,0,0,0,3
