run,numberOfFaultPredictedSegments,pileManipulations,wrongWorstPrediction,pileManipulationGraspFaults,correctObjectMatch,correctManipulations,correctGrasps,correctObjectManipulations,totalPredictions
0,5,3,0,3,0,1,1,0,2
1,3,0,0,0,0,0,0,0,3
2,6,3,0,3,0,0,0,0,3
3,3,0,0,0,1,1,1,0,3
4,4,1,0,0,0,0,1,0,3
5,4,1,0,1,1,0,1,0,3
6,4,1,0,1,0,0,0,0,3
7,2,0,0,0,1,1,1,1,2
8,2,0,0,0,0,1,2,1,2
9,6,3,0,3,0,0,0,0,3
10,5,3,0,3,0,1,2,0,2
11,3,0,0,0,3,0,0,0,3
12,2,0,0,0,1,1,2,1,2
13,3,0,0,0,1,1,1,0,3
14,4,1,0,1,0,0,0,0,3
15,1,0,0,0,1,1,1,0,1
16,4,1,0,1,0,0,0,0,3
17,1,0,0,0,0,1,1,1,1
18,1,0,0,0,0,1,1,1,1
19,3,0,0,0,2,0,1,0,3
20,3,0,0,0,0,0,0,0,3
21,3,0,0,0,0,0,0,0,3
22,3,0,0,0,2,0,0,0,3
23,1,0,0,0,1,1,1,1,1
24,5,2,0,2,0,0,0,0,3
25,1,0,0,0,0,1,1,0,1
26,3,0,0,0,0,0,0,0,3
27,2,0,0,0,1,1,1,1,2
28,4,1,0,1,1,0,0,0,3
29,1,0,0,0,1,1,1,0,1
30,3,0,0,0,1,1,1,1,3
31,3,0,0,0,2,1,1,1,3
32,4,2,0,2,1,1,1,0,2
33,3,0,0,0,1,0,0,0,3
34,3,0,0,0,1,0,0,0,3
35,2,0,0,0,0,1,1,0,2
36,2,0,0,0,1,1,1,1,2
37,1,0,0,0,3,0,0,0,3
38,3,0,0,0,0,0,0,0,3
39,3,0,0,0,3,0,0,0,3
40,2,0,0,0,0,1,1,0,2
41,3,0,0,0,3,1,1,0,3
42,2,0,0,0,0,1,1,0,2
43,3,0,0,0,0,0,0,0,3
44,6,3,0,3,0,0,0,0,3
45,1,0,0,0,1,1,1,1,1
46,4,3,0,3,0,1,1,0,1
47,3,0,0,0,0,0,0,0,3
48,5,2,0,2,0,0,1,0,3
49,1,0,0,0,1,1,1,0,1
50,3,0,0,0,0,1,1,0,3
51,3,0,0,0,2,1,1,0,3
52,2,0,0,0,2,1,1,0,2
53,2,0,0,0,1,1,2,0,2
54,4,3,0,2,0,1,1,0,1
55,2,1,0,0,0,1,1,0,1
56,1,0,0,0,0,1,1,0,1
57,5,2,0,2,0,1,1,0,3
58,4,3,0,3,1,1,2,0,2
59,3,0,0,0,0,0,0,0,3
60,3,0,0,0,0,0,0,0,3
61,2,0,0,0,2,1,1,1,2
62,1,0,0,0,0,1,1,0,1
63,5,2,0,2,0,0,0,0,3
64,3,0,0,0,1,0,0,0,3
65,3,0,0,0,0,0,0,0,3
66,3,3,0,1,0,1,1,1,1
67,4,2,0,2,0,1,1,0,2
68,6,3,3,3,0,0,0,0,3
69,2,0,0,0,1,1,1,1,2
70,4,1,0,1,0,0,0,0,3
71,1,0,0,0,0,1,1,0,1
72,3,2,0,2,0,1,1,0,1
73,3,0,0,0,2,0,0,0,3
74,2,0,0,0,0,1,1,0,2
75,1,0,0,0,0,1,1,0,1
76,2,0,0,0,1,1,1,0,2
77,4,1,0,1,1,1,1,0,3
78,4,2,0,2,0,1,1,0,2
79,3,0,0,0,0,1,1,0,3
80,2,0,0,0,1,1,1,1,2
81,1,0,0,0,0,1,1,0,1
82,1,0,0,0,0,1,1,0,1
83,5,2,0,2,0,0,0,0,3
84,3,0,0,0,1,0,0,0,3
85,6,3,0,3,0,0,0,0,3
86,3,0,0,0,0,0,0,0,3
87,2,0,0,0,2,1,1,1,2
88,4,1,0,1,0,0,1,0,3
89,3,1,0,1,3,0,0,0,3
90,3,0,0,0,1,1,1,1,3
91,1,2,0,2,3,0,0,0,3
92,4,1,0,1,0,0,0,0,3
93,2,0,0,0,0,1,1,0,2
94,3,0,0,0,1,0,0,0,3
95,5,3,0,3,1,1,1,1,2
96,1,0,0,0,1,1,1,1,1
97,1,0,0,0,0,1,1,0,1
98,3,0,0,0,0,1,1,0,3
99,2,0,0,0,0,1,2,0,2
