,scenario,segmenter,matchingNetwork,graspingNetwork,meanRunSuccess,STDRunSuccess,predictionSuccesPerRun,meanPredictionSuccessPerRun,STDPredictionSuccessPerRun ,meanRunsWithoutPileManipulation,STDRunsWithoutPileManipulation,meanPileManipulations,STDPileManipulations,meanRunsWithCorrectPredictionPerRun,STDRunsWithCorrectPredictionPerRun
0,packed,kmeans,CGR_ConvNet,CGR_ConvNet,25.0,4.330127018922194,0.50625,0.475,0.4674446377249638,33.0,4.702127178203499,1.61,1.2862520921049825,55.00000000000001,4.9749371855331
1,packed,kmeans,GOOD,CGR_ConvNet,20.0,4.0,0.3772455089820359,0.3466666666666666,0.42022387278065226,18.0,3.8418745424597094,1.95,1.1492202011394816,45.0,4.9749371855331
2,packed,kmeans,GOOD,CGR_ConvNet,20.0,4.0,0.3772455089820359,0.3466666666666666,0.42022387278065226,18.0,3.8418745424597094,1.95,1.1492202011394816,45.0,4.9749371855331
3,packed,kmeans,mobileNetV2,CGR_ConvNet,48.0,4.995998398718719,0.6503067484662577,0.6416666666666667,0.4465700433207206,26.0,4.386342439892261,1.6,1.214391812697811,70.0,4.582575694955841
4,packed,synthetic,CGR_ConvNet,CGR_ConvNet,42.0,4.935585071701227,0.5231788079470199,0.5733333333333334,0.4692090438427135,36.0,4.8,1.61,1.3095993681468028,63.0,4.828043081829324
5,packed,synthetic,GOOD,CGR_ConvNet,18.0,3.8418745424597094,0.3125,0.31166666666666665,0.4107526419688613,26.0,4.386342439892261,1.57,1.1656272425981082,41.0,4.9183330509431755
6,packed,synthetic,GOOD,CGR_ConvNet,18.0,3.8418745424597094,0.3125,0.31166666666666665,0.4107526419688613,26.0,4.386342439892261,1.57,1.1656272425981082,41.0,4.9183330509431755
7,packed,synthetic,mobileNetV2,CGR_ConvNet,61.0,4.877499359302879,0.7898089171974523,0.7966666666666665,0.367431097856834,59.0,4.9183330509431755,0.94,1.2376256185604642,85.0,3.570714214271425
8,packed,synthetic,mobileNetV2,CGR_ConvNet,60.0,4.898979485566356,0.7666666666666667,0.7666666666666666,0.3928371006591931,59.0,4.9183330509431755,0.91,1.2316942425255981,82.0,3.84187454245971
9,packed,watershed,CGR_ConvNet,CGR_ConvNet,20.0,4.0,0.21428571428571427,0.23166666666666663,0.3833626105054558,81.0,3.9230090491866054,0.32,0.7504880566886613,31.0,4.624932431938871
10,packed,watershed,CGR_ConvNet,CGR_ConvNet,20.0,4.0,0.21428571428571427,0.23166666666666663,0.3833626105054558,81.0,3.9230090491866054,0.32,0.7504880566886613,31.0,4.624932431938871
11,packed,watershed,GOOD,CGR_ConvNet,16.0,3.666060555964672,0.17703349282296652,0.18166666666666664,0.34254526927681855,66.0,4.737087712930804,0.61,0.9733312577810996,26.0,4.386342439892261
